gungu,region_code,sido,file_name,20230331
경상남도 거제시,4831000000,Gyeongsangnamdo,4831000000_Gyeongsangnamdo_Geoje,119
경상남도 거창군,4888000000,Gyeongsangnamdo,4888000000_Gyeongsangnamdo_Geochang,17
경상남도 고성군,4882000000,Gyeongsangnamdo,4882000000_Gyeongsangnamdo_Goseong,15
경상남도 김해시,4825000000,Gyeongsangnamdo,4825000000_Gyeongsangnamdo_Gimhae,393
경상남도 남해군,4884000000,Gyeongsangnamdo,4884000000_Gyeongsangnamdo_Namhae,5
경상남도 밀양시,4827000000,Gyeongsangnamdo,4827000000_Gyeongsangnamdo_Miryang,55
경상남도 사천시,4824000000,Gyeongsangnamdo,4824000000_Gyeongsangnamdo_Sacheon,83
경상남도 산청군,4886000000,Gyeongsangnamdo,4886000000_Gyeongsangnamdo_Sancheong,2
경상남도 양산시,4833000000,Gyeongsangnamdo,4833000000_Gyeongsangnamdo_Yangsan,243
경상남도 의령군,4872000000,Gyeongsangnamdo,4872000000_Gyeongsangnamdo_Uiryeong,2
경상남도 진주시,4817000000,Gyeongsangnamdo,4817000000_Gyeongsangnamdo_Jinju,249
경상남도 창녕군,4874000000,Gyeongsangnamdo,4874000000_Gyeongsangnamdo_Changnyeong,25
경상남도 창원시 마산합포구,4812500000,Gyeongsangnamdo,4812500000_Gyeongsangnamdo_Changwon_Masanhappo,109
경상남도 창원시 마산회원구,4812700000,Gyeongsangnamdo,4812700000_Gyeongsangnamdo_Changwon_Masanhoewon,129
경상남도 창원시 성산구,4812300000,Gyeongsangnamdo,4812300000_Gyeongsangnamdo_Changwon_Seongsan,226
경상남도 창원시 의창구,4812100000,Gyeongsangnamdo,4812100000_Gyeongsangnamdo_Changwon_Uichang,130
경상남도 창원시 진해구,4812900000,Gyeongsangnamdo,4812900000_Gyeongsangnamdo_Changwon_Jinhae,111
경상남도 통영시,4822000000,Gyeongsangnamdo,4822000000_Gyeongsangnamdo_Tongyeong,74
경상남도 하동군,4885000000,Gyeongsangnamdo,4885000000_Gyeongsangnamdo_Hadong,9
경상남도 함안군,4873000000,Gyeongsangnamdo,4873000000_Gyeongsangnamdo_Haman,37
경상남도 함양군,4887000000,Gyeongsangnamdo,4887000000_Gyeongsangnamdo_Hamyang,5
경상남도 합천군,4889000000,Gyeongsangnamdo,4889000000_Gyeongsangnamdo_Hapcheon,5
경상북도 경산시,4729000000,Gyeongsangbukdo,4729000000_Gyeongsangbukdo_Gyeongsan,137
경상북도 경주시,4713000000,Gyeongsangbukdo,4713000000_Gyeongsangbukdo_Gyeongju,153
경상북도 고령군,4783000000,Gyeongsangbukdo,4783000000_Gyeongsangbukdo_Goryeong,3
경상북도 구미시,4719000000,Gyeongsangbukdo,4719000000_Gyeongsangbukdo_Gumi,331
경상북도 군위군,4772000000,Gyeongsangbukdo,4772000000_Gyeongsangbukdo_Gunwi,2
경상북도 김천시,4715000000,Gyeongsangbukdo,4715000000_Gyeongsangbukdo_Gimcheon,107
경상북도 문경시,4728000000,Gyeongsangbukdo,4728000000_Gyeongsangbukdo_Mungyeong,31
경상북도 봉화군,4792000000,Gyeongsangbukdo,4792000000_Gyeongsangbukdo_Bonghwa,3
경상북도 상주시,4725000000,Gyeongsangbukdo,4725000000_Gyeongsangbukdo_Sangju,31
경상북도 성주군,4784000000,Gyeongsangbukdo,4784000000_Gyeongsangbukdo_Seongju,3
경상북도 안동시,4717000000,Gyeongsangbukdo,4717000000_Gyeongsangbukdo_Andong,93
경상북도 영덕군,4777000000,Gyeongsangbukdo,4777000000_Gyeongsangbukdo_Yeongdeok,1
경상북도 영양군,4776000000,Gyeongsangbukdo,4776000000_Gyeongsangbukdo_Yeongyang,0
경상북도 영주시,4721000000,Gyeongsangbukdo,4721000000_Gyeongsangbukdo_Yeongju,43
