,°Å·¡±Ý¾×,°Å·¡À¯Çü,°ÇÃà³âµµ,³â,µµ·Î¸í,µµ·Î¸í°Ç¹°º»¹øÈ£ÄÚµå,µµ·Î¸í°Ç¹°ºÎ¹øÈ£ÄÚµå,µµ·Î¸í½Ã±º±¸ÄÚµå,µµ·Î¸íÀÏ·Ã¹øÈ£ÄÚµå,µµ·Î¸íÁö»óÁöÇÏÄÚµå,µµ·Î¸íÄÚµå,¹ýÁ¤µ¿,¹ýÁ¤µ¿º»¹øÄÚµå,¹ýÁ¤µ¿ºÎ¹øÄÚµå,¹ýÁ¤µ¿½Ã±º±¸ÄÚµå,¹ýÁ¤µ¿À¾¸éµ¿ÄÚµå,¹ýÁ¤µ¿Áö¹øÄÚµå,¾ÆÆÄÆ®,¿ù,ÀÏ,ÀÏ·Ã¹øÈ£,Àü¿ë¸éÀû,Áß°³»ç¼ÒÀçÁö,Áö¹ø,Áö¿ªÄÚµå,Ãþ,ÇØÁ¦»çÀ¯¹ß»ýÀÏ,ÇØÁ¦¿©ºÎ
12,"13,880",,2011,2012,º°¾î°î2±æ,00037,00000,42770,01,0,4487136,³²¸é ¹®°î¸®,0593,0000,42770,32021,1,Á¤¼±¼ö·Á¾È,1,10,42770-87,84.941,,593,42770,11,,
13,"9,980",,2011,2012,º°¾î°î2±æ,00037,00000,42770,01,0,4487136,³²¸é ¹®°î¸®,0593,0000,42770,32021,1,Á¤¼±¼ö·Á¾È,1,10,42770-87,59.985,,593,42770,7,,
14,"9,980",,2011,2012,º°¾î°î2±æ,00037,00000,42770,01,0,4487136,³²¸é ¹®°î¸®,0593,0000,42770,32021,1,Á¤¼±¼ö·Á¾È,1,10,42770-87,59.985,,593,42770,6,,
15,"2,100",,1992,2012,¸Ö¹Ì±æ,00033,00000,42770,01,0,4487110,³²¸é ¹«¸ª¸®,0530,0000,42770,32022,1,¸Ö¹ÌÁÖ°ø,1,2,42770-9,39.99,,530,42770,5,,
16,"2,500",,1986,2012,ÁöÀåÃµ·Î,00076,00000,42770,03,0,3229024,³²¸é ¹«¸ª¸®,0590,0001,42770,32022,1,¹¬»êÁÖ°ø,1,30,42770-10,39.72,,590-1,42770,1,,
0,"3,300",,1997,2012,Á¤¼±·Î,01245,00006,42770,01,0,3229023,Á¤¼±À¾ ºÏ½Ç¸®,0746,0006,42770,25022,1,¹Ì¼Òºô,2,7,42770-4,31.58,,746-6,42770,13,,
1,"8,000",,1998,2012,Á¤¼±·Î,01245,00011,42770,01,0,3229023,Á¤¼±À¾ ºÏ½Ç¸®,0745,0001,42770,25022,1,Çö´ë,2,9,42770-3,59.86,,745-1,42770,17,,
2,"7,500",,1997,2012,Á¤¼±·Î,01245,00006,42770,01,0,3229023,Á¤¼±À¾ ºÏ½Ç¸®,0746,0006,42770,25022,1,¹Ì¼Òºô,2,16,42770-4,59.66,,746-6,42770,17,,
3,"1,600",,1989,2012,ºÏÀÏ¾È±æ,00051,00000,42770,01,0,4487157,»çºÏÀ¾ »çºÏ¸®,0229,0003,42770,25622,1,¿µµ¿,2,3,42770-8,48.79,,229-3,42770,3,,
4,"3,280",,1991,2012,µµ»ç°î±æ,00021,00000,42770,01,0,4487084,»çºÏÀ¾ »çºÏ¸®,0435,0005,42770,25622,1,µµ»ç°îÁÖ°ø2,2,9,42770-7,39.3,,435-5,42770,2,,
5,"3,270",,1991,2012,µµ»ç°î±æ,00021,00000,42770,01,0,4487084,»çºÏÀ¾ »çºÏ¸®,0435,0005,42770,25622,1,µµ»ç°îÁÖ°ø2,2,21,42770-7,39.3,,435-5,42770,4,,
6,"2,900",,1989,2012,ºÏÀÏ¾È±æ,00051,00000,42770,01,0,4487157,»çºÏÀ¾ »çºÏ¸®,0229,0003,42770,25622,1,¿µµ¿,2,21,42770-8,56.2,,229-3,42770,4,,
7,"3,000",,1991,2012,µµ»ç°î±æ,00021,00000,42770,01,0,4487084,»çºÏÀ¾ »çºÏ¸®,0435,0005,42770,25622,1,µµ»ç°îÁÖ°ø2,2,24,42770-7,39.69,,435-5,42770,1,,
8,"9,600",,2003,2012,ÆÄ¶û»õ±æ,00010,00000,42770,01,0,4487352,»çºÏÀ¾ »çºÏ¸®,0294,0003,42770,25622,1,»çºÏ¼±¸í2Â÷,2,27,42770-15,59.93,,294-3,42770,5,,
9,"1,700",,1984,2012,»õ°ñ±æ,00070,00000,42770,01,0,4487187,½Åµ¿À¾ Á¶µ¿¸®,0144,0000,42770,25923,1,ÇÔ¹é¾ÆÆÄÆ®,2,6,42770-13,40.32,,144,42770,3,,
10,"1,300",,1984,2012,»õ°ñ±æ,00070,00000,42770,01,0,4487187,½Åµ¿À¾ Á¶µ¿¸®,0144,0000,42770,25923,1,ÇÔ¹é¾ÆÆÄÆ®,2,23,42770-13,40.45,,144,42770,5,,
11,"13,500",,2011,2012,º°¾î°î2±æ,00037,00000,42770,01,0,4487136,³²¸é ¹®°î¸®,0593,0000,42770,32021,1,Á¤¼±¼ö·Á¾È,2,6,42770-87,84.941,,593,42770,2,,
12,"13,880",,2011,2012,º°¾î°î2±æ,00037,00000,42770,01,0,4487136,³²¸é ¹®°î¸®,0593,0000,42770,32021,1,Á¤¼±¼ö·Á¾È,2,6,42770-87,84.941,,593,42770,3,,
13,"13,880",,2011,2012,º°¾î°î2±æ,00037,00000,42770,01,0,4487136,³²¸é ¹®°î¸®,0593,0000,42770,32021,1,Á¤¼±¼ö·Á¾È,2,10,42770-87,84.941,,593,42770,7,,
14,"13,880",,2011,2012,º°¾î°î2±æ,00037,00000,42770,01,0,4487136,³²¸é ¹®°î¸®,0593,0000,42770,32021,1,Á¤¼±¼ö·Á¾È,2,10,42770-87,84.941,,593,42770,9,,
15,"2,000",,1986,2012,ÁöÀåÃµ·Î,00076,00000,42770,03,0,3229024,³²¸é ¹«¸ª¸®,0590,0001,42770,32022,1,¹¬»êÁÖ°ø,2,17,42770-10,39.72,,590-1,42770,2,,
16,"2,500",,1986,2012,ÁöÀåÃµ·Î,00076,00000,42770,03,0,3229024,³²¸é ¹«¸ª¸®,0590,0001,42770,32022,1,¹¬»êÁÖ°ø,2,23,42770-10,39.72,,590-1,42770,3,,
0,"2,500",,1989,2012,º´¹æÄ¡±æ,00007,00000,42770,01,0,4487138,Á¤¼±À¾ ºÏ½Ç¸®,0628,0000,42770,25022,1,¾Æ¸®¶û,3,13,42770-2,46.8,,628,42770,3,,
1,"10,000",,1998,2012,Á¤¼±·Î,01245,00011,42770,01,0,3229023,Á¤¼±À¾ ºÏ½Ç¸®,0745,0001,42770,25022,1,Çö´ë,3,27,42770-3,84.93,,745-1,42770,2,,
2,"2,500",,1997,2012,Á¤¼±·Î,01245,00006,42770,01,0,3229023,Á¤¼±À¾ ºÏ½Ç¸®,0746,0006,42770,25022,1,¹Ì¼Òºô,3,29,42770-4,31.58,,746-6,42770,2,,
3,"1,500",,1989,2012,ºÏÀÏ¾È±æ,00051,00000,42770,01,0,4487157,»çºÏÀ¾ »çºÏ¸®,0229,0003,42770,25622,1,¿µµ¿,3,5,42770-8,48.79,,229-3,42770,2,,
4,"8,550",,2002,2012,ÆÄ¶û»õ±æ,00030,00000,42770,01,0,4487352,»çºÏÀ¾ »çºÏ¸®,0302,0000,42770,25622,1,»çºÏ¼±¸í,3,9,42770-21,59.93,,302,42770,11,,
5,"8,750",,2002,2012,ÆÄ¶û»õ±æ,00030,00000,42770,01,0,4487352,»çºÏÀ¾ »çºÏ¸®,0302,0000,42770,25622,1,»çºÏ¼±¸í,3,9,42770-21,59.93,,302,42770,12,,
6,"1,900",,1989,2012,ºÏÀÏ¾È±æ,00051,00000,42770,01,0,4487157,»çºÏÀ¾ »çºÏ¸®,0229,0003,42770,25622,1,¿µµ¿,3,13,42770-8,37.66,,229-3,42770,2,,
7,"2,800",,1989,2012,ºÏÀÏ¾È±æ,00051,00000,42770,01,0,4487157,»çºÏÀ¾ »çºÏ¸®,0229,0003,42770,25622,1,¿µµ¿,3,21,42770-8,56.2,,229-3,42770,4,,
8,"8,800",,2002,2012,ÆÄ¶û»õ±æ,00030,00000,42770,01,0,4487352,»çºÏÀ¾ »çºÏ¸®,0302,0000,42770,25622,1,»çºÏ¼±¸í,3,21,42770-21,59.97,,302,42770,5,,
9,"14,000",,2003,2012,ÆÄ¶û»õ±æ,00010,00000,42770,01,0,4487352,»çºÏÀ¾ »çºÏ¸®,0294,0003,42770,25622,1,»çºÏ¼±¸í2Â÷,3,29,42770-15,84.97,,294-3,42770,3,,
10,"13,880",,2011,2012,º°¾î°î2±æ,00037,00000,42770,01,0,4487136,³²¸é ¹®°î¸®,0593,0000,42770,32021,1,Á¤¼±¼ö·Á¾È,3,8,42770-87,84.941,,593,42770,3,,
11,"10,000",,2011,2012,º°¾î°î2±æ,00037,00000,42770,01,0,4487136,³²¸é ¹®°î¸®,0593,0000,42770,32021,1,Á¤¼±¼ö·Á¾È,3,28,42770-87,84.941,,593,42770,2,,
12,"12,900",,2010,2012,µµ¿ø3±æ,00008,00000,42770,01,0,4487087,³²¸é ¹«¸ª¸®,0474,0009,42770,32022,1,¹Ì¶õÃ¤¾ÆÆÄÆ®,3,7,42770-84,83.7,,474-9,42770,7,,
13,"1,900",,1986,2012,ÁöÀåÃµ·Î,00076,00000,42770,03,0,3229024,³²¸é ¹«¸ª¸®,0590,0001,42770,32022,1,¹¬»êÁÖ°ø,3,8,42770-10,39.72,,590-1,42770,1,,
14,"2,100",,1992,2012,¸Ö¹Ì±æ,00033,00000,42770,01,0,4487110,³²¸é ¹«¸ª¸®,0530,0000,42770,32022,1,¸Ö¹ÌÁÖ°ø,3,14,42770-9,39.99,,530,42770,5,,
15,"2,850",,1992,2012,¸Ö¹Ì±æ,00033,00000,42770,01,0,4487110,³²¸é ¹«¸ª¸®,0530,0000,42770,32022,1,¸Ö¹ÌÁÖ°ø,3,20,42770-9,39.6,,530,42770,3,,
16,"2,600",,1992,2012,¸Ö¹Ì±æ,00033,00000,42770,01,0,4487110,³²¸é ¹«¸ª¸®,0530,0000,42770,32022,1,¸Ö¹ÌÁÖ°ø,3,28,42770-9,39.6,,530,42770,4,,
0,"3,300",,1997,2012,Á¤¼±·Î,01245,00006,42770,01,0,3229023,Á¤¼±À¾ ºÏ½Ç¸®,0746,0006,42770,25022,1,¹Ì¼Òºô,4,10,42770-4,31.58,,746-6,42770,7,,
1,"3,850",,1990,2012,Á¤¼±·Î,01182,00000,42770,01,0,3229023,Á¤¼±À¾ ºÏ½Ç¸®,0772,0002,42770,25022,1,ºÏ½ÇÁÖ°ø,4,12,42770-1,39.69,,772-2,42770,3,,
2,"3,000",,1990,2012,Á¤¼±·Î,01182,00000,42770,01,0,3229023,Á¤¼±À¾ ºÏ½Ç¸®,0772,0002,42770,25022,1,ºÏ½ÇÁÖ°ø,4,14,42770-1,39.3,,772-2,42770,3,,
3,"3,000",,1993,2012,¿ë´ã±æ,00071,00000,42770,01,0,4487293,Á¤¼±À¾ ºÏ½Ç¸®,0617,0001,42770,25022,1,ºÏ½Ç±¤¿ø(ÅÂÃ¢),4,17,42770-17,44.64,,617-1,42770,3,,
4,"8,100",,1998,2012,Á¤¼±·Î,01245,00011,42770,01,0,3229023,Á¤¼±À¾ ºÏ½Ç¸®,0745,0001,42770,25022,1,Çö´ë,4,18,42770-3,59.86,,745-1,42770,17,,
5,"13,000",,1998,2012,Á¤¼±·Î,01245,00011,42770,01,0,3229023,Á¤¼±À¾ ºÏ½Ç¸®,0745,0001,42770,25022,1,Çö´ë,4,18,42770-3,84.93,,745-1,42770,9,,
6,"11,000",,1998,2012,Á¤¼±·Î,01245,00011,42770,01,0,3229023,Á¤¼±À¾ ºÏ½Ç¸®,0745,0001,42770,25022,1,Çö´ë,4,23,42770-3,84.93,,745-1,42770,1,,
7,"3,700",,1990,2012,Á¤¼±·Î,01182,00000,42770,01,0,3229023,Á¤¼±À¾ ºÏ½Ç¸®,0772,0002,42770,25022,1,ºÏ½ÇÁÖ°ø,4,30,42770-1,39.3,,772-2,42770,3,,
8,"2,500",,1991,2012,µµ»ç°î±æ,00021,00000,42770,01,0,4487084,»çºÏÀ¾ »çºÏ¸®,0435,0005,42770,25622,1,µµ»ç°îÁÖ°ø2,4,2,42770-7,39.69,,435-5,42770,3,,
9,"9,550",,2003,2012,ÆÄ¶û»õ±æ,00010,00000,42770,01,0,4487352,»çºÏÀ¾ »çºÏ¸®,0294,0003,42770,25622,1,»çºÏ¼±¸í2Â÷,4,2,42770-15,59.93,,294-3,42770,3,,
10,"2,500",,1989,2012,ºÏÀÏ¾È±æ,00051,00000,42770,01,0,4487157,»çºÏÀ¾ »çºÏ¸®,0229,0003,42770,25622,1,¿µµ¿,4,2,42770-8,56.59,,229-3,42770,1,,
11,"2,500",,1989,2012,ºÏÀÏ¾È±æ,00051,00000,42770,01,0,4487157,»çºÏÀ¾ »çºÏ¸®,0229,0003,42770,25622,1,¿µµ¿,4,2,42770-8,56.59,,229-3,42770,5,,
12,"2,500",,1989,2012,ºÏÀÏ¾È±æ,00051,00000,42770,01,0,4487157,»çºÏÀ¾ »çºÏ¸®,0229,0003,42770,25622,1,¿µµ¿,4,2,42770-8,56.2,,229-3,42770,5,,
13,"8,850",,2002,2012,ÆÄ¶û»õ±æ,00030,00000,42770,01,0,4487352,»çºÏÀ¾ »çºÏ¸®,0302,0000,42770,25622,1,»çºÏ¼±¸í,4,13,42770-21,59.93,,302,42770,8,,
14,"8,500",,2002,2012,ÆÄ¶û»õ±æ,00030,00000,42770,01,0,4487352,»çºÏÀ¾ »çºÏ¸®,0302,0000,42770,25622,1,»çºÏ¼±¸í,4,16,42770-21,59.97,,302,42770,1,,
15,"8,900",,2002,2012,ÆÄ¶û»õ±æ,00030,00000,42770,01,0,4487352,»çºÏÀ¾ »çºÏ¸®,0302,0000,42770,25622,1,»çºÏ¼±¸í,4,24,42770-21,59.93,,302,42770,12,,
16,"8,500",,2002,2012,ÆÄ¶û»õ±æ,00030,00000,42770,01,0,4487352,»çºÏÀ¾ »çºÏ¸®,0302,0000,42770,25622,1,»çºÏ¼±¸í,4,25,42770-21,59.93,,302,42770,15,,
17,"8,600",,2002,2012,ÆÄ¶û»õ±æ,00030,00000,42770,01,0,4487352,»çºÏÀ¾ »çºÏ¸®,0302,0000,42770,25622,1,»çºÏ¼±¸í,4,30,42770-21,59.97,,302,42770,4,,
18,"2,000",,1986,2012,ÁöÀåÃµ·Î,00076,00000,42770,03,0,3229024,³²¸é ¹«¸ª¸®,0590,0001,42770,32022,1,¹¬»êÁÖ°ø,4,27,42770-10,39.72,,590-1,42770,2,,
19,"3,500",,1993,2012,°í¾ç·Î,00012,00000,42770,01,0,3229003,¿©·®¸é ¿©·®¸®,0320,0000,42770,37021,1,¼ºµµ,4,2,42770-11,58.62,,320,42770,5,,
0,"15,300",,1998,2012,Á¤¼±·Î,01245,00011,42770,01,0,3229023,Á¤¼±À¾ ºÏ½Ç¸®,0745,0001,42770,25022,1,Çö´ë,5,11,42770-3,84.93,,745-1,42770,10,,
1,"3,800",,1990,2012,Á¤¼±·Î,01182,00000,42770,01,0,3229023,Á¤¼±À¾ ºÏ½Ç¸®,0772,0002,42770,25022,1,ºÏ½ÇÁÖ°ø,5,17,42770-1,39.3,,772-2,42770,2,,
2,"3,350",,1990,2012,Á¤¼±·Î,01182,00000,42770,01,0,3229023,Á¤¼±À¾ ºÏ½Ç¸®,0772,0002,42770,25022,1,ºÏ½ÇÁÖ°ø,5,21,42770-1,39.3,,772-2,42770,4,,
3,"6,500",,2004,2012,°­¿ø³²·Î,06453,00000,42770,01,0,3013042,°íÇÑÀ¾ °íÇÑ¸®,0373,0025,42770,25321,1,°íÇÑ½ºÄ«ÀÌºô,5,30,42770-80,59.871,,373-25,42770,10,,
4,"8,700",,2003,2012,ÆÄ¶û»õ±æ,00010,00000,42770,01,0,4487352,»çºÏÀ¾ »çºÏ¸®,0294,0003,42770,25622,1,»çºÏ¼±¸í2Â÷,5,2,42770-15,59.93,,294-3,42770,2,,
5,"2,700",,1984,2012,µµ»ç°î±æ,00021,00000,42770,01,0,4487084,»çºÏÀ¾ »çºÏ¸®,0435,0001,42770,25622,1,µµ»ç°îÁÖ°ø1,5,3,42770-6,45.85,,435-1,42770,4,,
6,"1,000",,1989,2012,ºÏÀÏ¾È±æ,00051,00000,42770,01,0,4487157,»çºÏÀ¾ »çºÏ¸®,0229,0003,42770,25622,1,¿µµ¿,5,3,42770-8,37.66,,229-3,42770,1,,
7,"8,600",,2002,2012,ÆÄ¶û»õ±æ,00030,00000,42770,01,0,4487352,»çºÏÀ¾ »çºÏ¸®,0302,0000,42770,25622,1,»çºÏ¼±¸í,5,29,42770-21,59.97,,302,42770,4,,
8,"1,500",,1984,2012,»õ°ñ±æ,00070,00000,42770,01,0,4487187,½Åµ¿À¾ Á¶µ¿¸®,0144,0000,42770,25923,1,ÇÔ¹é¾ÆÆÄÆ®,5,12,42770-13,40.45,,144,42770,5,,
9,"1,000",,1984,2012,»õ°ñ±æ,00070,00000,42770,01,0,4487187,½Åµ¿À¾ Á¶µ¿¸®,0144,0000,42770,25923,1,ÇÔ¹é¾ÆÆÄÆ®,5,15,42770-13,40.45,,144,42770,4,,
10,"13,000",,2011,2012,º°¾î°î2±æ,00037,00000,42770,01,0,4487136,³²¸é ¹®°î¸®,0593,0000,42770,32021,1,Á¤¼±¼ö·Á¾È,5,24,42770-87,84.941,,593,42770,8,,
11,"2,500",,1992,2012,¸Ö¹Ì±æ,00033,00000,42770,01,0,4487110,³²¸é ¹«¸ª¸®,0530,0000,42770,32022,1,¸Ö¹ÌÁÖ°ø,5,7,42770-9,39.99,,530,42770,4,,
12,"2,500",,1986,2012,ÁöÀåÃµ·Î,00076,00000,42770,03,0,3229024,³²¸é ¹«¸ª¸®,0590,0001,42770,32022,1,¹¬»êÁÖ°ø,5,7,42770-10,39.72,,590-1,42770,4,,
13,"2,370",,1986,2012,ÁöÀåÃµ·Î,00076,00000,42770,03,0,3229024,³²¸é ¹«¸ª¸®,0590,0001,42770,32022,1,¹¬»êÁÖ°ø,5,15,42770-10,39.72,,590-1,42770,5,,
14,"1,600",,1986,2012,ÁöÀåÃµ·Î,00076,00000,42770,03,0,3229024,³²¸é ¹«¸ª¸®,0590,0001,42770,32022,1,¹¬»êÁÖ°ø,5,16,42770-10,39.72,,590-1,42770,5,,
15,"2,500",,1986,2012,ÁöÀåÃµ·Î,00076,00000,42770,03,0,3229024,³²¸é ¹«¸ª¸®,0590,0001,42770,32022,1,¹¬»êÁÖ°ø,5,18,42770-10,39.72,,590-1,42770,4,,
16,"2,350",,1986,2012,ÁöÀåÃµ·Î,00076,00000,42770,03,0,3229024,³²¸é ¹«¸ª¸®,0590,0001,42770,32022,1,¹¬»êÁÖ°ø,5,30,42770-10,39.72,,590-1,42770,4,,
17,"2,100",,1986,2012,ÁöÀåÃµ·Î,00076,00000,42770,03,0,3229024,³²¸é ¹«¸ª¸®,0590,0001,42770,32022,1,¹¬»êÁÖ°ø,5,30,42770-10,39.72,,590-1,42770,4,,
0,"10,000",,1998,2012,Á¤¼±·Î,01245,00011,42770,01,0,3229023,Á¤¼±À¾ ºÏ½Ç¸®,0745,0001,42770,25022,1,Çö´ë,6,21,42770-3,84.93,,745-1,42770,8,,
1,"7,500",,1997,2012,Á¤¼±·Î,01245,00006,42770,01,0,3229023,Á¤¼±À¾ ºÏ½Ç¸®,0746,0006,42770,25022,1,¹Ì¼Òºô,6,23,42770-4,59.66,,746-6,42770,17,,
2,"3,000",,1997,2012,Á¤¼±·Î,01245,00006,42770,01,0,3229023,Á¤¼±À¾ ºÏ½Ç¸®,0746,0006,42770,25022,1,¹Ì¼Òºô,6,26,42770-4,31.58,,746-6,42770,11,,
3,"3,300",,1997,2012,Á¤¼±·Î,01245,00006,42770,01,0,3229023,Á¤¼±À¾ ºÏ½Ç¸®,0746,0006,42770,25022,1,¹Ì¼Òºô,6,26,42770-4,31.58,,746-6,42770,8,,
4,"8,000",,2002,2012,ÆÄ¶û»õ±æ,00030,00000,42770,01,0,4487352,»çºÏÀ¾ »çºÏ¸®,0302,0000,42770,25622,1,»çºÏ¼±¸í,6,4,42770-21,59.97,,302,42770,11,,
5,"3,000",,1984,2012,µµ»ç°î±æ,00021,00000,42770,01,0,4487084,»çºÏÀ¾ »çºÏ¸®,0435,0001,42770,25622,1,µµ»ç°îÁÖ°ø1,6,18,42770-6,45.72,,435-1,42770,3,,
6,"1,000",,1989,2012,ºÏÀÏ¾È±æ,00051,00000,42770,01,0,4487157,»çºÏÀ¾ »çºÏ¸®,0229,0003,42770,25622,1,¿µµ¿,6,19,42770-8,37.66,,229-3,42770,1,,
7,"13,000",,2011,2012,º°¾î°î2±æ,00037,00000,42770,01,0,4487136,³²¸é ¹®°î¸®,0593,0000,42770,32021,1,Á¤¼±¼ö·Á¾È,6,13,42770-87,84.941,,593,42770,8,,
8,"12,000",,2011,2012,º°¾î°î2±æ,00037,00000,42770,01,0,4487136,³²¸é ¹®°î¸®,0593,0000,42770,32021,1,Á¤¼±¼ö·Á¾È,6,27,42770-87,84.941,,593,42770,5,,
9,"2,600",,1992,2012,¸Ö¹Ì±æ,00033,00000,42770,01,0,4487110,³²¸é ¹«¸ª¸®,0530,0000,42770,32022,1,¸Ö¹ÌÁÖ°ø,6,1,42770-9,39.6,,530,42770,4,,
10,"2,700",,1992,2012,¸Ö¹Ì±æ,00033,00000,42770,01,0,4487110,³²¸é ¹«¸ª¸®,0530,0000,42770,32022,1,¸Ö¹ÌÁÖ°ø,6,12,42770-9,39.6,,530,42770,4,,
11,"3,000",,1992,2012,¸Ö¹Ì±æ,00033,00000,42770,01,0,4487110,³²¸é ¹«¸ª¸®,0530,0000,42770,32022,1,¸Ö¹ÌÁÖ°ø,6,18,42770-9,39.6,,530,42770,2,,
0,"2,900",,1997,2012,Á¤¼±·Î,01245,00006,42770,01,0,3229023,Á¤¼±À¾ ºÏ½Ç¸®,0746,0006,42770,25022,1,¹Ì¼Òºô,7,2,42770-4,31.58,,746-6,42770,3,,
1,"2,700",,1997,2012,Á¤¼±·Î,01245,00006,42770,01,0,3229023,Á¤¼±À¾ ºÏ½Ç¸®,0746,0006,42770,25022,1,¹Ì¼Òºô,7,3,42770-4,31.58,,746-6,42770,2,,
2,"5,000",,1997,2012,Á¤¼±·Î,01245,00006,42770,01,0,3229023,Á¤¼±À¾ ºÏ½Ç¸®,0746,0006,42770,25022,1,¹Ì¼Òºô,7,9,42770-4,49.23,,746-6,42770,12,,
3,"5,600",,1997,2012,Á¤¼±·Î,01245,00006,42770,01,0,3229023,Á¤¼±À¾ ºÏ½Ç¸®,0746,0006,42770,25022,1,¹Ì¼Òºô,7,20,42770-4,49.23,,746-6,42770,4,,
4,"3,150",,1991,2012,µµ»ç°î±æ,00021,00000,42770,01,0,4487084,»çºÏÀ¾ »çºÏ¸®,0435,0005,42770,25622,1,µµ»ç°îÁÖ°ø2,7,10,42770-7,39.69,,435-5,42770,3,,
5,"1,500",,1984,2012,»õ°ñ±æ,00070,00000,42770,01,0,4487187,½Åµ¿À¾ Á¶µ¿¸®,0144,0000,42770,25923,1,ÇÔ¹é¾ÆÆÄÆ®,7,17,42770-13,40.45,,144,42770,4,,
6,"12,000",,2011,2012,º°¾î°î2±æ,00037,00000,42770,01,0,4487136,³²¸é ¹®°î¸®,0593,0000,42770,32021,1,Á¤¼±¼ö·Á¾È,7,10,42770-87,84.941,,593,42770,11,,
7,"12,000",,2011,2012,º°¾î°î2±æ,00037,00000,42770,01,0,4487136,³²¸é ¹®°î¸®,0593,0000,42770,32021,1,Á¤¼±¼ö·Á¾È,7,20,42770-87,84.941,,593,42770,3,,
