,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부,도로명지상지하코드
2,"6,500",,2002,2012,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,12,17,46860-4,51.49,,855,46860,12,,,
3,"7,200",,2002,2012,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,12,17,46860-4,51.49,,855,46860,4,,,
4,"7,000",,2002,2012,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,12,20,46860-4,59.64,,855,46860,3,,,
5,"9,500",,2002,2012,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,12,27,46860-4,59.64,,855,46860,7,,,
6,"6,500",,1991,2012,내대화길,00112,00012,46860,00,4691044,함평읍 내교리,0306,0000,46860,25023,1,동광,12,28,46860-1,63.62,,306,46860,6,,,
7,"5,300",,1991,2012,내대화길,00112,00012,46860,00,4691044,함평읍 내교리,0306,0000,46860,25023,1,동광,12,31,46860-1,71.54,,306,46860,11,,,
8,"7,750",,2002,2012,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,12,31,46860-4,51.95,,855,46860,12,,,
0,"15,286",,2012,2013,교광길,00013,00003,46860,01,4691019,함평읍 내교리,0862,0000,46860,25023,1,남산미르채아파트101동,1,7,46860-22,84.9561,,862,46860,2,,,0
1,"14,786",,2012,2013,교광길,00013,00003,46860,01,4691019,함평읍 내교리,0862,0000,46860,25023,1,남산미르채아파트101동,1,22,46860-22,84.9561,,862,46860,1,,,0
2,"14,786",,2012,2013,교광길,00013,00003,46860,01,4691019,함평읍 내교리,0862,0000,46860,25023,1,남산미르채아파트101동,1,22,46860-22,84.9561,,862,46860,1,,,0
3,"7,300",,2002,2013,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,1,26,46860-4,51.49,,855,46860,9,,,
0,"7,200",,2002,2013,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,2,1,46860-4,51.95,,855,46860,7,,,
1,"6,000",,2002,2013,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,2,15,46860-4,51.49,,855,46860,14,,,
2,"8,800",,2002,2013,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,2,20,46860-4,59.64,,855,46860,12,,,
3,"7,200",,2002,2013,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,2,25,46860-4,51.49,,855,46860,2,,,
4,"15,986",,2012,2013,교광길,00013,00003,46860,01,4691019,함평읍 내교리,0862,0000,46860,25023,1,남산미르채아파트101동,2,26,46860-22,84.9561,,862,46860,3,,,0
0,"7,400",,2002,2013,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,3,9,46860-4,51.95,,855,46860,4,,,
1,"7,300",,2002,2013,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,3,18,46860-4,51.49,,855,46860,7,,,
2,"9,300",,2002,2013,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,3,19,46860-4,59.64,,855,46860,14,,,
3,"6,400",,1991,2013,내대화길,00112,00012,46860,00,4691044,함평읍 내교리,0306,0000,46860,25023,1,동광,3,24,46860-1,71.54,,306,46860,9,,,
4,"5,800",,1991,2013,내대화길,00112,00012,46860,00,4691044,함평읍 내교리,0306,0000,46860,25023,1,동광,3,24,46860-1,63.62,,306,46860,8,,,
5,"5,400",,1991,2013,내대화길,00112,00012,46860,00,4691044,함평읍 내교리,0306,0000,46860,25023,1,동광,3,25,46860-1,63.62,,306,46860,4,,,
6,"15,800",,2006,2013,내대화길,00112,00011,46860,01,4691044,함평읍 내교리,0305,0000,46860,25023,1,거송라뷔랑,3,28,46860-16,83.4114,,305,46860,6,,,0
0,"5,070",,2002,2013,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,4,1,46860-4,51.95,,855,46860,2,,,
1,"18,486",,2012,2013,교광길,00013,00003,46860,01,4691019,함평읍 내교리,0862,0000,46860,25023,1,남산미르채아파트101동,4,1,46860-22,84.9561,,862,46860,10,,,0
2,"15,986",,2012,2013,교광길,00013,00003,46860,01,4691019,함평읍 내교리,0862,0000,46860,25023,1,남산미르채아파트101동,4,8,46860-22,84.9561,,862,46860,4,,,0
3,"7,500",,2002,2013,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,4,10,46860-4,59.64,,855,46860,13,,,
4,"8,900",,2002,2013,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,4,16,46860-4,59.64,,855,46860,4,,,
5,"6,300",,1991,2013,내대화길,00112,00012,46860,00,4691044,함평읍 내교리,0306,0000,46860,25023,1,동광,4,18,46860-1,71.54,,306,46860,11,,,
6,"5,980",,1991,2013,내대화길,00112,00012,46860,00,4691044,함평읍 내교리,0306,0000,46860,25023,1,동광,4,22,46860-1,63.62,,306,46860,10,,,
7,"6,000",,2002,2013,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,4,24,46860-4,51.49,,855,46860,10,,,
8,"5,800",,1991,2013,내대화길,00112,00012,46860,00,4691044,함평읍 내교리,0306,0000,46860,25023,1,동광,4,25,46860-1,84.5,,306,46860,1,,,
0,"15,286",,2012,2013,교광길,00013,00003,46860,01,4691019,함평읍 내교리,0862,0000,46860,25023,1,남산미르채아파트101동,5,13,46860-22,84.9561,,862,46860,2,,,0
1,"7,200",,1991,2013,내대화길,00112,00012,46860,00,4691044,함평읍 내교리,0306,0000,46860,25023,1,동광,5,21,46860-1,84.5,,306,46860,10,,,
2,"8,100",,2002,2013,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,5,22,46860-4,51.95,,855,46860,13,,,
3,"8,100",,1991,2013,내대화길,00112,00012,46860,00,4691044,함평읍 내교리,0306,0000,46860,25023,1,동광,5,26,46860-1,84.5,,306,46860,10,,,
0,"11,000",,2006,2013,내대화길,00112,00011,46860,01,4691044,함평읍 내교리,0305,0000,46860,25023,1,거송라뷔랑,6,5,46860-16,70.7832,,305,46860,6,,,0
1,"5,500",,1991,2013,내대화길,00112,00012,46860,00,4691044,함평읍 내교리,0306,0000,46860,25023,1,동광,6,10,46860-1,63.62,,306,46860,11,,,
2,"7,800",,2002,2013,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,6,11,46860-4,51.95,,855,46860,12,,,
3,"15,986",,2012,2013,교광길,00013,00003,46860,01,4691019,함평읍 내교리,0862,0000,46860,25023,1,남산미르채아파트101동,6,12,46860-22,84.9561,,862,46860,6,,,0
4,"5,100",,2002,2013,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,6,17,46860-4,51.95,,855,46860,2,,,
5,"7,500",,2002,2013,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,6,20,46860-4,59.64,,855,46860,6,,,
6,"18,000",,2012,2013,교광길,00013,00003,46860,01,4691019,함평읍 내교리,0862,0000,46860,25023,1,남산미르채아파트101동,6,24,46860-22,84.9561,,862,46860,10,,,0
7,"15,986",,2012,2013,교광길,00013,00003,46860,01,4691019,함평읍 내교리,0862,0000,46860,25023,1,남산미르채아파트101동,6,25,46860-22,84.9561,,862,46860,3,,,0
8,"7,000",,1991,2013,내대화길,00112,00012,46860,00,4691044,함평읍 내교리,0306,0000,46860,25023,1,동광,6,28,46860-1,71.54,,306,46860,1,,,
9,"8,000",,2002,2013,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,6,28,46860-4,51.95,,855,46860,5,,,
0,"6,250",,1991,2013,내대화길,00112,00012,46860,00,4691044,함평읍 내교리,0306,0000,46860,25023,1,동광,7,3,46860-1,71.54,,306,46860,11,,,
0,"6,800",,2002,2013,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,8,8,46860-4,51.49,,855,46860,2,,,
1,"10,600",,2006,2013,내대화길,00112,00011,46860,01,4691044,함평읍 내교리,0305,0000,46860,25023,1,거송라뷔랑,8,25,46860-16,70.7832,,305,46860,1,,,0
2,"13,000",,2006,2013,내대화길,00112,00011,46860,01,4691044,함평읍 내교리,0305,0000,46860,25023,1,거송라뷔랑,8,26,46860-16,70.7832,,305,46860,3,,,0
0,"8,250",,2002,2013,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,9,13,46860-4,51.95,,855,46860,4,,,
1,"7,000",,2002,2013,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,9,16,46860-4,51.95,,855,46860,15,,,
2,"15,486",,2012,2013,교광길,00013,00003,46860,01,4691019,함평읍 내교리,0862,0000,46860,25023,1,남산미르채아파트101동,9,17,46860-22,84.9561,,862,46860,4,,,0
3,"15,800",,2006,2013,내대화길,00112,00011,46860,01,4691044,함평읍 내교리,0305,0000,46860,25023,1,거송라뷔랑,9,27,46860-16,83.4114,,305,46860,10,,,0
0,"6,300",,1991,2013,내대화길,00112,00012,46860,00,4691044,함평읍 내교리,0306,0000,46860,25023,1,동광,10,14,46860-1,63.62,,306,46860,11,,,
1,"9,000",,2002,2013,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,10,14,46860-4,59.64,,855,46860,2,,,
2,"13,000",,2012,2013,교광길,00013,00003,46860,01,4691019,함평읍 내교리,0862,0000,46860,25023,1,남산미르채아파트101동,10,28,46860-22,84.9561,,862,46860,2,,,0
3,"7,600",,2002,2013,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,10,29,46860-4,51.49,,855,46860,7,,,
4,"5,000",,1991,2013,내대화길,00112,00012,46860,00,4691044,함평읍 내교리,0306,0000,46860,25023,1,동광,10,30,46860-1,63.62,,306,46860,2,,,
5,"8,700",,2002,2013,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,10,30,46860-4,51.95,,855,46860,9,,,
0,"14,786",,2012,2013,교광길,00013,00003,46860,01,4691019,함평읍 내교리,0862,0000,46860,25023,1,남산미르채아파트101동,11,15,46860-22,84.9561,,862,46860,1,,,0
1,"11,000",,2006,2013,내대화길,00112,00011,46860,01,4691044,함평읍 내교리,0305,0000,46860,25023,1,거송라뷔랑,11,18,46860-16,70.7832,,305,46860,1,,,0
2,"8,450",,2002,2013,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,11,20,46860-4,51.95,,855,46860,14,,,
0,"8,850",,2002,2013,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,12,15,46860-4,59.64,,855,46860,4,,,
1,"15,000",,2006,2013,내대화길,00112,00011,46860,01,4691044,함평읍 내교리,0305,0000,46860,25023,1,거송라뷔랑,12,20,46860-16,83.4114,,305,46860,3,,,0
2,"15,600",,2006,2013,내대화길,00112,00011,46860,01,4691044,함평읍 내교리,0305,0000,46860,25023,1,거송라뷔랑,12,23,46860-16,83.4114,,305,46860,15,,,0
3,"13,200",,2006,2013,내대화길,00112,00011,46860,01,4691044,함평읍 내교리,0305,0000,46860,25023,1,거송라뷔랑,12,26,46860-16,70.7832,,305,46860,12,,,0
0,"16,000",,2006,2014,내대화길,00112,00011,46860,01,4691044,함평읍 내교리,0305,0000,46860,25023,1,거송라뷔랑,1,10,46860-16,83.4114,,305,46860,13,,,0
1,"8,500",,2002,2014,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,1,20,46860-4,59.64,,855,46860,14,,,
0,"14,636",,2012,2014,교광길,00013,00003,46860,01,4691019,함평읍 내교리,0862,0000,46860,25023,1,남산미르채아파트101동,2,7,46860-22,84.9561,,862,46860,2,,,0
1,"5,400",,1991,2014,내대화길,00112,00012,46860,00,4691044,함평읍 내교리,0306,0000,46860,25023,1,동광,2,20,46860-1,63.62,,306,46860,8,,,
2,"8,300",,2002,2014,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,2,25,46860-4,51.95,,855,46860,15,,,
0,"7,300",,1991,2014,내대화길,00112,00012,46860,00,4691044,함평읍 내교리,0306,0000,46860,25023,1,동광,3,13,46860-1,71.54,,306,46860,6,,,
1,"8,100",,2002,2014,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,3,26,46860-4,51.95,,855,46860,14,,,
0,"6,300",,1991,2014,내대화길,00112,00012,46860,00,4691044,함평읍 내교리,0306,0000,46860,25023,1,동광,4,10,46860-1,71.54,,306,46860,9,,,
1,"7,800",,2002,2014,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,4,16,46860-4,51.95,,855,46860,4,,,
0,"8,000",,2002,2014,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,5,22,46860-4,51.95,,855,46860,3,,,
1,"8,600",,2002,2014,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,5,29,46860-4,51.95,,855,46860,12,,,
2,"12,700",,2006,2014,내대화길,00112,00011,46860,01,4691044,함평읍 내교리,0305,0000,46860,25023,1,거송라뷔랑,5,30,46860-16,70.7832,,305,46860,14,,,0
0,"8,800",,1991,2014,내대화길,00112,00012,46860,00,4691044,함평읍 내교리,0306,0000,46860,25023,1,동광,7,1,46860-1,84.5,,306,46860,10,,,
1,"7,450",,2002,2014,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,7,9,46860-4,51.49,,855,46860,9,,,
2,"7,200",,2002,2014,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,7,15,46860-4,51.49,,855,46860,14,,,
0,"7,500",,2002,2014,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,8,9,46860-4,59.64,,855,46860,13,,,
1,"8,100",,2002,2014,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,8,11,46860-4,51.95,,855,46860,12,,,
2,"16,000",,2006,2014,내대화길,00112,00011,46860,01,4691044,함평읍 내교리,0305,0000,46860,25023,1,거송라뷔랑,8,19,46860-16,83.4114,,305,46860,7,,,0
3,"9,100",,2002,2014,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,8,22,46860-4,59.64,,855,46860,9,,,
4,"6,600",,1991,2014,내대화길,00112,00012,46860,00,4691044,함평읍 내교리,0306,0000,46860,25023,1,동광,8,29,46860-1,71.54,,306,46860,3,,,
0,"15,200",,2006,2014,내대화길,00112,00011,46860,01,4691044,함평읍 내교리,0305,0000,46860,25023,1,거송라뷔랑,9,11,46860-16,83.4114,,305,46860,8,,,0
1,"8,600",,2002,2014,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,9,22,46860-4,59.64,,855,46860,1,,,
2,"7,000",,2002,2014,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,9,24,46860-4,51.95,,855,46860,11,,,
3,"12,700",,2006,2014,내대화길,00112,00011,46860,01,4691044,함평읍 내교리,0305,0000,46860,25023,1,거송라뷔랑,9,24,46860-16,70.7832,,305,46860,13,,,0
4,"7,900",,2002,2014,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,9,29,46860-4,51.95,,855,46860,3,,,
5,"7,300",,2002,2014,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,9,30,46860-4,51.95,,855,46860,12,,,
0,"14,748",,2014,2014,교광길,00033,00000,46860,01,4691019,함평읍 내교리,0863,0000,46860,25023,1,남산미르채,10,4,46860-26,65.0039,,863,46860,7,,,0
1,"8,650",,2002,2014,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,10,7,46860-4,59.64,,855,46860,2,,,
2,"14,748",,2014,2014,교광길,00033,00000,46860,01,4691019,함평읍 내교리,0863,0000,46860,25023,1,남산미르채,10,9,46860-26,65.0039,,863,46860,3,,,0
3,"12,800",,2006,2014,내대화길,00112,00011,46860,01,4691044,함평읍 내교리,0305,0000,46860,25023,1,거송라뷔랑,10,13,46860-16,70.7832,,305,46860,10,,,0
4,"14,748",,2014,2014,교광길,00033,00000,46860,01,4691019,함평읍 내교리,0863,0000,46860,25023,1,남산미르채,10,13,46860-26,65.0039,,863,46860,9,,,0
5,"8,700",,2002,2014,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,10,14,46860-4,51.95,,855,46860,7,,,
6,"14,748",,2014,2014,교광길,00033,00000,46860,01,4691019,함평읍 내교리,0863,0000,46860,25023,1,남산미르채,10,20,46860-26,65.0039,,863,46860,4,,,0
7,"16,300",,2012,2014,교광길,00013,00003,46860,01,4691019,함평읍 내교리,0862,0000,46860,25023,1,남산미르채아파트101동,10,21,46860-22,84.9561,,862,46860,6,,,0
8,"8,100",,2002,2014,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,10,29,46860-4,51.95,,855,46860,5,,,
0,"8,000",,2002,2014,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,11,3,46860-4,51.95,,855,46860,13,,,
1,"8,200",,2002,2014,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,11,4,46860-4,51.95,,855,46860,8,,,
2,"4,200",,1991,2014,내대화길,00112,00012,46860,00,4691044,함평읍 내교리,0306,0000,46860,25023,1,동광,11,5,46860-1,71.54,,306,46860,11,,,
3,"14,748",,2014,2014,교광길,00033,00000,46860,01,4691019,함평읍 내교리,0863,0000,46860,25023,1,남산미르채,11,12,46860-26,65.0039,,863,46860,6,,,0
0,"7,300",,1991,2014,내대화길,00112,00012,46860,00,4691044,함평읍 내교리,0306,0000,46860,25023,1,동광,12,11,46860-1,84.5,,306,46860,3,,,
1,"14,748",,2014,2014,교광길,00033,00000,46860,01,4691019,함평읍 내교리,0863,0000,46860,25023,1,남산미르채,12,12,46860-26,65.0039,,863,46860,3,,,0
2,"7,000",,2002,2014,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,12,16,46860-4,51.49,,855,46860,10,,,
0,"14,748",,2014,2015,교광길,00033,00000,46860,01,4691019,함평읍 내교리,0863,0000,46860,25023,1,남산미르채,1,5,46860-26,65.0039,,863,46860,8,,,0
1,"8,000",,2002,2015,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,1,19,46860-4,51.95,,855,46860,2,,,
2,"8,300",,2002,2015,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,1,20,46860-4,51.95,,855,46860,5,,,
3,"7,400",,2002,2015,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,1,22,46860-4,51.49,,855,46860,4,,,
4,"14,748",,2014,2015,교광길,00033,00000,46860,01,4691019,함평읍 내교리,0863,0000,46860,25023,1,남산미르채,1,22,46860-26,65.0039,,863,46860,2,,,0
5,"8,000",,2002,2015,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,1,28,46860-4,51.95,,855,46860,13,,,
6,"15,700",,2006,2015,내대화길,00112,00011,46860,01,4691044,함평읍 내교리,0305,0000,46860,25023,1,거송라뷔랑,1,30,46860-16,83.4114,,305,46860,4,,,0
0,"14,748",,2014,2015,교광길,00033,00000,46860,01,4691019,함평읍 내교리,0863,0000,46860,25023,1,남산미르채,2,6,46860-26,65.0039,,863,46860,7,,,0
1,"7,500",,2002,2015,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,2,11,46860-4,51.49,,855,46860,10,,,
2,"6,600",,2002,2015,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,2,11,46860-4,51.49,,855,46860,1,,,
