,°Å·¡±Ý¾×,°Å·¡À¯Çü,°ÇÃà³âµµ,³â,µµ·Î¸í,µµ·Î¸í°Ç¹°º»¹øÈ£ÄÚµå,µµ·Î¸í°Ç¹°ºÎ¹øÈ£ÄÚµå,µµ·Î¸í½Ã±º±¸ÄÚµå,µµ·Î¸íÀÏ·Ã¹øÈ£ÄÚµå,µµ·Î¸íÁö»óÁöÇÏÄÚµå,µµ·Î¸íÄÚµå,¹ýÁ¤µ¿,¹ýÁ¤µ¿º»¹øÄÚµå,¹ýÁ¤µ¿ºÎ¹øÄÚµå,¹ýÁ¤µ¿½Ã±º±¸ÄÚµå,¹ýÁ¤µ¿À¾¸éµ¿ÄÚµå,¹ýÁ¤µ¿Áö¹øÄÚµå,¾ÆÆÄÆ®,¿ù,ÀÏ,ÀÏ·Ã¹øÈ£,Àü¿ë¸éÀû,Áß°³»ç¼ÒÀçÁö,Áö¹ø,Áö¿ªÄÚµå,Ãþ,ÇØÁ¦»çÀ¯¹ß»ýÀÏ,ÇØÁ¦¿©ºÎ
5,"6,400",,1996,2012,¿¹ÁÖ±æ,00121,00015,47770,00,,4754241,¿µÇØ¸é ±«½Ã¸®,0158,0003,47770,36031,1,¿¹ÁÖºñÄ¡,3,21,47770-15,84.23,,158-3,47770,3,,
0,"5,800",,1990,2012,°­º¯±æ,00280,00002,47770,01,0,4754020,¿µ´öÀ¾ È­°³¸®,0158,0001,47770,25022,1,µµÈ­¸Ç¼Ç,4,5,47770-3,84.94,,158-1,47770,1,,
1,"5,000",,2003,2012,¿µ´ö·Î,00163,00000,47770,01,0,3318006,¿µ´öÀ¾ ¿ì°î¸®,0217,0000,47770,25027,1,¸¶ÀÌ´Ù½ººô,4,4,47770-16,59.85,,217,47770,11,,
2,"5,500",,2003,2012,¿µ´ö·Î,00163,00000,47770,01,0,3318006,¿µ´öÀ¾ ¿ì°î¸®,0217,0000,47770,25027,1,¸¶ÀÌ´Ù½ººô,4,6,47770-16,59.85,,217,47770,7,,
3,"21,042",,2011,2012,½Å°­±¸6±æ,00026,00000,47770,01,0,4754194,°­±¸¸é ¿ÀÆ÷¸®,0003,0116,47770,31032,1,±Ý°­¿¤¸®½Ã¾Æ,4,25,47770-100,84.358,,3-116,47770,5,,
4,"2,600",,1990,2012,¿¹ÁÖ5±æ,00012,00001,47770,01,0,4754236,¿µÇØ¸é ¼º³»¸®,0431,0008,47770,36030,1,±ÃÀü,4,26,47770-14,71.29,,431-8,47770,1,,
0,"6,800",,1993,2012,Áß¾Ó±æ,00038,00004,47770,01,0,4754311,¿µ´öÀ¾ ¿ì°î¸®,0261,0000,47770,25027,1,È«¾ÈÇàº¹Å¸¿î,5,9,47770-9,81.79,,261,47770,5,,
1,"5,700",,1993,2012,Áß¾Ó±æ,00038,00004,47770,01,0,4754311,¿µ´öÀ¾ ¿ì°î¸®,0261,0000,47770,25027,1,È«¾ÈÇàº¹Å¸¿î,5,10,47770-9,67.55,,261,47770,2,,
2,"4,000",,1997,2012,Áß¾Ó±æ,00020,00000,47770,01,0,4754311,¿µ´öÀ¾ ¿ì°î¸®,0283,0000,47770,25027,1,½Å¼¼°èÅ¸¿î,5,15,47770-8,59.91,,283,47770,1,,
3,"4,100",,1997,2012,Áß¾Ó±æ,00020,00000,47770,01,0,4754311,¿µ´öÀ¾ ¿ì°î¸®,0283,0000,47770,25027,1,½Å¼¼°èÅ¸¿î,5,15,47770-8,59.91,,283,47770,5,,
4,"7,000",,1997,2012,Áß¾Ó±æ,00020,00000,47770,01,0,4754311,¿µ´öÀ¾ ¿ì°î¸®,0283,0000,47770,25027,1,½Å¼¼°èÅ¸¿î,5,18,47770-8,84.18,,283,47770,14,,
5,"6,500",,1997,2012,Áß¾Ó±æ,00020,00000,47770,01,0,4754311,¿µ´öÀ¾ ¿ì°î¸®,0283,0000,47770,25027,1,½Å¼¼°èÅ¸¿î,5,18,47770-8,84.18,,283,47770,5,,
6,"12,000",,2005,2012,´ö°îÃµ±æ,00014,00000,47770,01,0,4754097,¿µ´öÀ¾ ¿ì°î¸®,0340,0002,47770,25027,1,¸®¹öºô(102µ¿),5,21,47770-19,84.6,,340-2,47770,9,,
7,"20,000",,2011,2012,½Å°­±¸6±æ,00026,00000,47770,01,0,4754194,°­±¸¸é ¿ÀÆ÷¸®,0003,0116,47770,31032,1,±Ý°­¿¤¸®½Ã¾Æ,5,23,47770-100,84.358,,3-116,47770,8,,
8,"5,000",,1990,2012,¿¹ÁÖ5±æ,00012,00001,47770,01,0,4754236,¿µÇØ¸é ¼º³»¸®,0431,0008,47770,36030,1,±ÃÀü,5,30,47770-14,80.01,,431-8,47770,3,,
9,"7,100",,1996,2012,¿¹ÁÖ±æ,00121,00015,47770,00,,4754241,¿µÇØ¸é ±«½Ã¸®,0158,0003,47770,36031,1,¿¹ÁÖºñÄ¡,5,29,47770-15,84.23,,158-3,47770,9,,
10,"5,900",,1996,2012,¿¹ÁÖ±æ,00121,00015,47770,00,,4754241,¿µÇØ¸é ±«½Ã¸®,0158,0003,47770,36031,1,¿¹ÁÖºñÄ¡,5,30,47770-15,59.64,,158-3,47770,10,,
0,"4,000",,2003,2012,°­º¯±æ,00116,00008,47770,01,0,4754020,¿µ´öÀ¾ ³²¼®¸®,0028,0017,47770,25023,1,»ïÈ£°­º¯ºô¶ó,6,12,47770-18,84.93,,28-17,47770,2,,
1,"3,500",,1991,2012,³²¼®3±æ,00012,00000,47770,01,0,4754070,¿µ´öÀ¾ ³²¼®¸®,0010,0027,47770,25023,1,±¸·æ¸Ç¼Ç,6,13,47770-1,69.93,,10-27,47770,5,,
2,"6,200",,2003,2012,¿µ´ö·Î,00163,00000,47770,01,0,3318006,¿µ´öÀ¾ ¿ì°î¸®,0217,0000,47770,25027,1,¸¶ÀÌ´Ù½ººô,6,7,47770-16,59.85,,217,47770,3,,
3,"6,200",,2003,2012,¿µ´ö·Î,00163,00000,47770,01,0,3318006,¿µ´öÀ¾ ¿ì°î¸®,0217,0000,47770,25027,1,¸¶ÀÌ´Ù½ººô,6,21,47770-16,59.85,,217,47770,2,,
4,"3,900",,2003,2012,¿µ´ö·Î,00163,00000,47770,01,0,3318006,¿µ´öÀ¾ ¿ì°î¸®,0217,0000,47770,25027,1,¸¶ÀÌ´Ù½ººô,6,23,47770-16,32.19,,217,47770,6,,
0,"6,300",,2003,2012,¿µ´ö·Î,00163,00000,47770,01,0,3318006,¿µ´öÀ¾ ¿ì°î¸®,0217,0000,47770,25027,1,¸¶ÀÌ´Ù½ººô,7,1,47770-16,59.85,,217,47770,10,,
1,"3,900",,2003,2012,¿µ´ö·Î,00163,00000,47770,01,0,3318006,¿µ´öÀ¾ ¿ì°î¸®,0217,0000,47770,25027,1,¸¶ÀÌ´Ù½ººô,7,4,47770-16,32.19,,217,47770,6,,
2,"5,000",,2003,2012,¿µ´ö·Î,00163,00000,47770,01,0,3318006,¿µ´öÀ¾ ¿ì°î¸®,0217,0000,47770,25027,1,¸¶ÀÌ´Ù½ººô,7,10,47770-16,59.85,,217,47770,11,,
3,"6,000",,1997,2012,Áß¾Ó±æ,00020,00000,47770,01,0,4754311,¿µ´öÀ¾ ¿ì°î¸®,0283,0000,47770,25027,1,½Å¼¼°èÅ¸¿î,7,27,47770-8,59.91,,283,47770,5,,
4,"7,000",,2003,2012,¿µ´ö·Î,00163,00000,47770,01,0,3318006,¿µ´öÀ¾ ¿ì°î¸®,0217,0000,47770,25027,1,¸¶ÀÌ´Ù½ººô,7,31,47770-16,59.85,,217,47770,3,,
5,"3,500",,1994,2012,³ªºñ»ê±æ,00071,00000,47770,01,0,4754061,°­±¸¸é ¿ÀÆ÷¸®,0643,0003,47770,31032,1,»ï»ç¸Ç¼Ç,7,27,47770-10,55.6,,643-3,47770,2,,
0,"8,000",,1996,2012,¿ÀÆ÷±æ,00010,00000,47770,01,0,4754267,°­±¸¸é ¿ÀÆ÷¸®,0081,0008,47770,31032,1,Çý±¤ºô¶ó,8,14,47770-13,84.842,,81-8,47770,3,,
1,"8,000",,2004,2012,¹ú¿µ1±æ,00024,00000,47770,01,0,4754133,¿µÇØ¸é ¹ú¿µ¸®,0004,0002,47770,36035,1,À¯¼º¶û½ººô,8,10,47770-17,73.6698,,4-2,47770,5,,
0,"8,700",,1997,2012,Áß¾Ó±æ,00020,00000,47770,01,0,4754311,¿µ´öÀ¾ ¿ì°î¸®,0283,0000,47770,25027,1,½Å¼¼°èÅ¸¿î,9,28,47770-8,84.18,,283,47770,6,,
0,"6,500",,2003,2012,°­º¯±æ,00116,00008,47770,01,0,4754020,¿µ´öÀ¾ ³²¼®¸®,0028,0017,47770,25023,1,»ïÈ£°­º¯ºô¶ó,10,15,47770-18,84.93,,28-17,47770,8,,
1,"3,500",,2003,2012,¿µ´ö·Î,00163,00000,47770,01,0,3318006,¿µ´öÀ¾ ¿ì°î¸®,0217,0000,47770,25027,1,¸¶ÀÌ´Ù½ººô,10,19,47770-16,32.19,,217,47770,6,,
2,"2,800",,2003,2012,¿µ´ö·Î,00163,00000,47770,01,0,3318006,¿µ´öÀ¾ ¿ì°î¸®,0217,0000,47770,25027,1,¸¶ÀÌ´Ù½ººô,10,25,47770-16,32.19,,217,47770,4,,
3,"5,000",,1994,2012,¿ì°î±æ,00016,00000,47770,01,0,4754273,¿µ´öÀ¾ ¿ì°î¸®,0333,0005,47770,25027,1,²Þµ¹ÀÌºô¶ó,10,26,47770-6,99.04,,333-5,47770,4,,
4,"20,000",,2011,2012,½Å°­±¸6±æ,00026,00000,47770,01,0,4754194,°­±¸¸é ¿ÀÆ÷¸®,0003,0116,47770,31032,1,±Ý°­¿¤¸®½Ã¾Æ,10,17,47770-100,83.6214,,3-116,47770,8,,
5,"8,200",,1996,2012,¿¹ÁÖ±æ,00121,00015,47770,00,,4754241,¿µÇØ¸é ±«½Ã¸®,0158,0003,47770,36031,1,¿¹ÁÖºñÄ¡,10,8,47770-15,84.23,,158-3,47770,10,,
6,"5,750",,1996,2012,¿¹ÁÖ±æ,00121,00015,47770,00,,4754241,¿µÇØ¸é ±«½Ã¸®,0158,0003,47770,36031,1,¿¹ÁÖºñÄ¡,10,16,47770-15,59.64,,158-3,47770,3,,
7,"6,400",,1996,2012,¿¹ÁÖ±æ,00121,00015,47770,00,,4754241,¿µÇØ¸é ±«½Ã¸®,0158,0003,47770,36031,1,¿¹ÁÖºñÄ¡,10,22,47770-15,84.23,,158-3,47770,3,,
0,"7,000",,2003,2012,¿µ´ö·Î,00163,00000,47770,01,0,3318006,¿µ´öÀ¾ ¿ì°î¸®,0217,0000,47770,25027,1,¸¶ÀÌ´Ù½ººô,11,13,47770-16,59.85,,217,47770,9,,
1,"6,800",,1997,2012,Áß¾Ó±æ,00020,00000,47770,01,0,4754311,¿µ´öÀ¾ ¿ì°î¸®,0283,0000,47770,25027,1,½Å¼¼°èÅ¸¿î,11,22,47770-8,59.91,,283,47770,10,,
2,"7,100",,1990,2012,¿ì°î±æ,00042,00000,47770,01,0,4754273,¿µ´öÀ¾ ¿ì°î¸®,0336,0001,47770,25027,1,±ÃÀü,11,26,47770-5,67.29,,336-1,47770,2,,
3,"5,200",,1990,2012,Áß¾Ó±æ,00026,00000,47770,01,0,4754311,¿µ´öÀ¾ ¿ì°î¸®,0262,0000,47770,25027,1,´ë¼º±×¸°¸Ç¼Ç,11,26,47770-7,71.685,,262,47770,3,,
4,"9,000",,1997,2012,Áß¾Ó±æ,00020,00000,47770,01,0,4754311,¿µ´öÀ¾ ¿ì°î¸®,0283,0000,47770,25027,1,½Å¼¼°èÅ¸¿î,11,30,47770-8,84.93,,283,47770,13,,
5,"2,700",,1994,2012,³ªºñ»ê±æ,00071,00000,47770,01,0,4754061,°­±¸¸é ¿ÀÆ÷¸®,0643,0003,47770,31032,1,»ï»ç¸Ç¼Ç,11,20,47770-10,79.21,,643-3,47770,2,,
6,"3,100",,1991,2012,¿ÀÆ÷±æ,00050,00000,47770,01,0,4754267,°­±¸¸é ¿ÀÆ÷¸®,0570,0002,47770,31032,1,»ó¾Æ¸Ç¼Ç,11,20,47770-11,75.45,,570-2,47770,4,,
7,"8,000",,2004,2012,¹ú¿µ1±æ,00024,00000,47770,01,0,4754133,¿µÇØ¸é ¹ú¿µ¸®,0004,0002,47770,36035,1,À¯¼º¶û½ººô,11,13,47770-17,59.5368,,4-2,47770,4,,
0,"3,000",,1994,2012,±ºÃ»±æ,00130,00000,47770,01,0,4754048,¿µ´öÀ¾ ³²¼®¸®,0288,0000,47770,25023,1,µ¿¹®,12,20,47770-2,59.37,,288,47770,3,,
1,"5,900",,1993,2012,Áß¾Ó±æ,00038,00004,47770,01,0,4754311,¿µ´öÀ¾ ¿ì°î¸®,0261,0000,47770,25027,1,È«¾ÈÇàº¹Å¸¿î,12,17,47770-9,67.57,,261,47770,4,,
2,"8,700",,1991,2012,¿ì°î±æ,00048,00000,47770,01,0,4754273,¿µ´öÀ¾ ¿ì°î¸®,0322,0010,47770,25027,1,°³³ª¸®,12,20,47770-4,84.94,,322-10,47770,2,,
3,"5,200",,1990,2012,Áß¾Ó±æ,00026,00000,47770,01,0,4754311,¿µ´öÀ¾ ¿ì°î¸®,0262,0000,47770,25027,1,´ë¼º±×¸°¸Ç¼Ç,12,28,47770-7,71.685,,262,47770,3,,
0,"4,000",,1991,2013,³²¼®3±æ,00012,00000,47770,01,0,4754070,¿µ´öÀ¾ ³²¼®¸®,0010,0027,47770,25023,1,±¸·æ¸Ç¼Ç,1,10,47770-1,46.92,,10-27,47770,2,,
1,"3,450",,2003,2013,¿µ´ö·Î,00163,00000,47770,01,0,3318006,¿µ´öÀ¾ ¿ì°î¸®,0217,0000,47770,25027,1,¸¶ÀÌ´Ù½ººô,1,3,47770-16,32.19,,217,47770,3,,
2,"3,900",,2003,2013,¿µ´ö·Î,00163,00000,47770,01,0,3318006,¿µ´öÀ¾ ¿ì°î¸®,0217,0000,47770,25027,1,¸¶ÀÌ´Ù½ººô,1,9,47770-16,32.19,,217,47770,3,,
3,"8,300",,1997,2013,Áß¾Ó±æ,00020,00000,47770,01,0,4754311,¿µ´öÀ¾ ¿ì°î¸®,0283,0000,47770,25027,1,½Å¼¼°èÅ¸¿î,1,28,47770-8,84.93,,283,47770,14,,
4,"3,750",,1994,2013,³ªºñ»ê±æ,00071,00000,47770,01,0,4754061,°­±¸¸é ¿ÀÆ÷¸®,0643,0003,47770,31032,1,»ï»ç¸Ç¼Ç,1,23,47770-10,65.48,,643-3,47770,5,,
0,"5,900",,2003,2013,°­º¯±æ,00116,00008,47770,01,0,4754020,¿µ´öÀ¾ ³²¼®¸®,0028,0017,47770,25023,1,»ïÈ£°­º¯ºô¶ó,2,28,47770-18,84.93,,28-17,47770,4,,
1,"14,000",,2009,2013,´ö°îÃµ±æ,00034,00000,47770,01,0,4754097,¿µ´öÀ¾ ´ö°î¸®,0150,0026,47770,25024,1,ÇÑµ¿¸¾¿¡µë,2,25,47770-98,84.97,,150-26,47770,5,,
2,"6,500",,1997,2013,Áß¾Ó±æ,00020,00000,47770,01,0,4754311,¿µ´öÀ¾ ¿ì°î¸®,0283,0000,47770,25027,1,½Å¼¼°èÅ¸¿î,2,14,47770-8,59.91,,283,47770,8,,
3,"3,700",,2003,2013,¿µ´ö·Î,00163,00000,47770,01,0,3318006,¿µ´öÀ¾ ¿ì°î¸®,0217,0000,47770,25027,1,¸¶ÀÌ´Ù½ººô,2,20,47770-16,32.19,,217,47770,2,,
0,"5,390",,1993,2013,Áß¾Ó±æ,00038,00004,47770,01,0,4754311,¿µ´öÀ¾ ¿ì°î¸®,0261,0000,47770,25027,1,È«¾ÈÇàº¹Å¸¿î,3,8,47770-9,58.55,,261,47770,4,,
1,"3,850",,2003,2013,¿µ´ö·Î,00163,00000,47770,01,0,3318006,¿µ´öÀ¾ ¿ì°î¸®,0217,0000,47770,25027,1,¸¶ÀÌ´Ù½ººô,3,8,47770-16,32.19,,217,47770,2,,
2,"6,000",,1991,2013,¿ì°î±æ,00048,00000,47770,01,0,4754273,¿µ´öÀ¾ ¿ì°î¸®,0322,0010,47770,25027,1,°³³ª¸®,3,20,47770-4,84.94,,322-10,47770,1,,
3,"4,700",,1993,2013,Áß¾Ó±æ,00038,00004,47770,01,0,4754311,¿µ´öÀ¾ ¿ì°î¸®,0261,0000,47770,25027,1,È«¾ÈÇàº¹Å¸¿î,3,23,47770-9,57.98,,261,47770,4,,
0,"6,500",,1990,2013,°­º¯±æ,00280,00002,47770,01,0,4754020,¿µ´öÀ¾ È­°³¸®,0158,0001,47770,25022,1,µµÈ­¸Ç¼Ç,4,25,47770-3,84.94,,158-1,47770,5,,
1,"4,000",,2003,2013,°­º¯±æ,00116,00008,47770,01,0,4754020,¿µ´öÀ¾ ³²¼®¸®,0028,0017,47770,25023,1,»ïÈ£°­º¯ºô¶ó,4,1,47770-18,84.93,,28-17,47770,1,,
2,"6,550",,2003,2013,¿µ´ö·Î,00163,00000,47770,01,0,3318006,¿µ´öÀ¾ ¿ì°î¸®,0217,0000,47770,25027,1,¸¶ÀÌ´Ù½ººô,4,3,47770-16,59.85,,217,47770,2,,
3,"2,600",,1990,2013,Áß¾Ó±æ,00026,00000,47770,01,0,4754311,¿µ´öÀ¾ ¿ì°î¸®,0262,0000,47770,25027,1,´ë¼º±×¸°¸Ç¼Ç,4,10,47770-7,59.815,,262,47770,2,,
4,"5,500",,2003,2013,¿µ´ö·Î,00163,00000,47770,01,0,3318006,¿µ´öÀ¾ ¿ì°î¸®,0217,0000,47770,25027,1,¸¶ÀÌ´Ù½ººô,4,15,47770-16,59.85,,217,47770,11,,
5,"6,000",,1994,2013,¿ì°î±æ,00016,00000,47770,01,0,4754273,¿µ´öÀ¾ ¿ì°î¸®,0333,0005,47770,25027,1,²Þµ¹ÀÌºô¶ó,4,18,47770-6,99.94,,333-5,47770,4,,
6,"12,000",,2005,2013,´ö°îÃµ±æ,00014,00000,47770,01,0,4754097,¿µ´öÀ¾ ¿ì°î¸®,0340,0002,47770,25027,1,¸®¹öºô(102µ¿),4,24,47770-19,84.6,,340-2,47770,9,,
7,"8,100",,1991,2013,¿ì°î±æ,00048,00000,47770,01,0,4754273,¿µ´öÀ¾ ¿ì°î¸®,0322,0010,47770,25027,1,°³³ª¸®,4,25,47770-4,84.94,,322-10,47770,5,,
8,"6,500",,1996,2013,¿¹ÁÖ±æ,00121,00015,47770,00,,4754241,¿µÇØ¸é ±«½Ã¸®,0158,0003,47770,36031,1,¿¹ÁÖºñÄ¡,4,4,47770-15,59.64,,158-3,47770,9,,
9,"12,500",,2004,2013,¹ú¿µ1±æ,00024,00000,47770,01,0,4754133,¿µÇØ¸é ¹ú¿µ¸®,0004,0002,47770,36035,1,À¯¼º¶û½ººô,4,26,47770-17,84.8672,,4-2,47770,2,,
0,"16,300",,2009,2013,´ö°îÃµ±æ,00034,00000,47770,01,0,4754097,¿µ´öÀ¾ ´ö°î¸®,0150,0026,47770,25024,1,ÇÑµ¿¸¾¿¡µë,5,9,47770-98,84.97,,150-26,47770,2,,
1,"4,500",,1990,2013,Áß¾Ó±æ,00026,00000,47770,01,0,4754311,¿µ´öÀ¾ ¿ì°î¸®,0262,0000,47770,25027,1,´ë¼º±×¸°¸Ç¼Ç,5,8,47770-7,71.685,,262,47770,5,,
2,"8,800",,1997,2013,Áß¾Ó±æ,00020,00000,47770,01,0,4754311,¿µ´öÀ¾ ¿ì°î¸®,0283,0000,47770,25027,1,½Å¼¼°èÅ¸¿î,5,10,47770-8,84.93,,283,47770,1,,
3,"5,800",,1996,2013,¿¹ÁÖ±æ,00121,00015,47770,00,,4754241,¿µÇØ¸é ±«½Ã¸®,0158,0003,47770,36031,1,¿¹ÁÖºñÄ¡,5,9,47770-15,59.64,,158-3,47770,11,,
4,"15,000",,2004,2013,¹ú¿µ1±æ,00024,00000,47770,01,0,4754133,¿µÇØ¸é ¹ú¿µ¸®,0004,0002,47770,36035,1,À¯¼º¶û½ººô,5,24,47770-17,84.8672,,4-2,47770,5,,
0,"4,100",,1994,2013,±ºÃ»±æ,00130,00000,47770,01,0,4754048,¿µ´öÀ¾ ³²¼®¸®,0288,0000,47770,25023,1,µ¿¹®,6,10,47770-2,84.92,,288,47770,7,,
1,"7,000",,1991,2013,¿ì°î±æ,00048,00000,47770,01,0,4754273,¿µ´öÀ¾ ¿ì°î¸®,0322,0010,47770,25027,1,°³³ª¸®,6,28,47770-4,84.94,,322-10,47770,3,,
2,"6,300",,1996,2013,¿¹ÁÖ±æ,00121,00015,47770,00,,4754241,¿µÇØ¸é ±«½Ã¸®,0158,0003,47770,36031,1,¿¹ÁÖºñÄ¡,6,24,47770-15,59.64,,158-3,47770,9,,
3,"14,100",,2004,2013,¹ú¿µ1±æ,00024,00000,47770,01,0,4754133,¿µÇØ¸é ¹ú¿µ¸®,0004,0002,47770,36035,1,À¯¼º¶û½ººô,6,17,47770-17,84.8672,,4-2,47770,7,,
4,"13,000",,2004,2013,¹ú¿µ1±æ,00024,00000,47770,01,0,4754133,¿µÇØ¸é ¹ú¿µ¸®,0004,0002,47770,36035,1,À¯¼º¶û½ººô,6,18,47770-17,84.696,,4-2,47770,6,,
0,"7,500",,2003,2013,¿µ´ö·Î,00163,00000,47770,01,0,3318006,¿µ´öÀ¾ ¿ì°î¸®,0217,0000,47770,25027,1,¸¶ÀÌ´Ù½ººô,8,7,47770-16,59.85,,217,47770,7,,
0,"13,100",,2005,2013,´ö°îÃµ±æ,00014,00000,47770,01,0,4754097,¿µ´öÀ¾ ¿ì°î¸®,0340,0002,47770,25027,1,¸®¹öºô(102µ¿),9,7,47770-19,84.69,,340-2,47770,5,,
1,"6,850",,1993,2013,Áß¾Ó±æ,00038,00004,47770,01,0,4754311,¿µ´öÀ¾ ¿ì°î¸®,0261,0000,47770,25027,1,È«¾ÈÇàº¹Å¸¿î,9,12,47770-9,81.79,,261,47770,5,,
2,"7,450",,2003,2013,¿µ´ö·Î,00163,00000,47770,01,0,3318006,¿µ´öÀ¾ ¿ì°î¸®,0217,0000,47770,25027,1,¸¶ÀÌ´Ù½ººô,9,30,47770-16,59.85,,217,47770,9,,
3,"6,600",,1996,2013,¿¹ÁÖ7±æ,00016,00000,47770,00,,4754396,¿µÇØ¸é ±«½Ã¸®,0158,0003,47770,36031,1,¿¹ÁÖºñÄ¡,9,6,47770-15,59.64,,158-3,47770,8,,
0,"6,200",,2003,2013,°­º¯±æ,00116,00008,47770,01,0,4754020,¿µ´öÀ¾ ³²¼®¸®,0028,0017,47770,25023,1,»ïÈ£°­º¯ºô¶ó,10,4,47770-18,84.93,,28-17,47770,3,,
1,"5,700",,2003,2013,°­º¯±æ,00116,00008,47770,01,0,4754020,¿µ´öÀ¾ ³²¼®¸®,0028,0017,47770,25023,1,»ïÈ£°­º¯ºô¶ó,10,4,47770-18,84.93,,28-17,47770,9,,
2,"7,500",,2003,2013,¿µ´ö·Î,00163,00000,47770,01,0,3318006,¿µ´öÀ¾ ¿ì°î¸®,0217,0000,47770,25027,1,¸¶ÀÌ´Ù½ººô,10,10,47770-16,59.85,,217,47770,8,,
3,"14,000",,2013,2013,´ö°îÃµ±æ,00014,00001,47770,01,0,4754097,¿µ´öÀ¾ ¿ì°î¸®,0340,0001,47770,25027,1,ºÎ¿ë¸¶Å©ºä,10,17,47770-117,70.3683,,340-1,47770,6,,
4,"13,000",,2013,2013,´ö°îÃµ±æ,00014,00001,47770,01,0,4754097,¿µ´öÀ¾ ¿ì°î¸®,0340,0001,47770,25027,1,ºÎ¿ë¸¶Å©ºä,10,18,47770-117,73.8906,,340-1,47770,5,,
5,"18,000",,2013,2013,´ö°îÃµ±æ,00014,00001,47770,01,0,4754097,¿µ´öÀ¾ ¿ì°î¸®,0340,0001,47770,25027,1,ºÎ¿ë¸¶Å©ºä,10,18,47770-117,82.5696,,340-1,47770,5,,
6,"7,000",,2003,2013,¿µ´ö·Î,00163,00000,47770,01,0,3318006,¿µ´öÀ¾ ¿ì°î¸®,0217,0000,47770,25027,1,¸¶ÀÌ´Ù½ººô,10,20,47770-16,59.85,,217,47770,7,,
