,°»½Å¿ä±¸±Ç»ç¿ë,°ÇÃà³âµµ,°è¾à±¸ºÐ,°è¾à±â°£,³â,¹ýÁ¤µ¿,º¸Áõ±Ý¾×,¾ÆÆÄÆ®,¿ù,¿ù¼¼±Ý¾×,ÀÏ,Àü¿ë¸éÀû,Á¾Àü°è¾àº¸Áõ±Ý,Á¾Àü°è¾à¿ù¼¼,Áö¹ø,Áö¿ªÄÚµå,Ãþ
0,,2001,,,2012,ÀåÈïÀ¾ °Ç»ê¸®,500,¼Ö¸þÅ¸¿î,8,35,14,84.8824,,,413,46800,13
0,,1996,,,2012,ÀåÈïÀ¾ °Ç»ê¸®,"2,300",°è¸í,9,0,5,39.93,,,767,46800,8
0,,1996,,,2012,ÀåÈïÀ¾ °Ç»ê¸®,"1,256",°è¸í,12,7,2,49.8,,,767,46800,11
0,,2009,,,2013,ÀåÈïÀ¾ °Ç»ê¸®,"8,000",¼öÃ¢ÈÞ±×¸°,1,0,4,84.9629,,,635-1,46800,5
0,,2004,,,2013,ÀåÈïÀ¾ °Ç»ê¸®,"8,000",°Ç»êÁÖ°ø,3,0,10,59.99,,,529-1,46800,9
0,,2001,,,2013,ÀåÈïÀ¾ °Ç»ê¸®,"7,000",¼öÃ¢¾ÆÆ®ºô,6,17,19,84.785,,,670,46800,3
0,,2004,,,2013,ÀåÈïÀ¾ °Ç»ê¸®,"6,000",°Ç»êÁÖ°ø,7,0,24,51.88,,,529-1,46800,10
0,,1996,,,2013,ÀåÈïÀ¾ °Ç»ê¸®,"5,000",¹Ì·¡3,8,0,8,47.79,,,129,46800,14
1,,2001,,,2013,ÀåÈïÀ¾ °Ç»ê¸®,"7,800",¼Ö¸þÅ¸¿î,8,0,31,84.8824,,,413,46800,15
2,,1996,,,2013,ÀåÈïÀ¾ °Ç»ê¸®,"5,700",¹Ì·¡3,8,0,31,59.82,,,129,46800,7
0,,1991,,,2013,ÀåÈïÀ¾ °Ç»ê¸®,"2,000",ÇÑºû¸Ç¼Ç,10,23,15,68.235,,,752,46800,4
1,,1996,,,2013,ÀåÈïÀ¾ °Ç»ê¸®,"6,000",¹Ì·¡3,10,0,15,47.79,,,129,46800,12
0,,1996,,,2014,ÀåÈïÀ¾ °Ç»ê¸®,"7,000",¹Ì·¡3,1,0,23,59.82,,,129,46800,15
0,,1996,,,2014,ÀåÈïÀ¾ °Ç»ê¸®,"5,000",°è¸í,3,0,31,59.67,,,767,46800,8
0,,1991,,,2014,ÀåÈïÀ¾ °Ç»ê¸®,"2,000",¹Ì·¡1,4,30,16,63.62,,,473-31,46800,9
1,,1996,,,2014,ÀåÈïÀ¾ °Ç»ê¸®,"4,000",¹Ì·¡3,4,30,22,59.82,,,129,46800,15
2,,2012,,,2014,ÀåÈïÀ¾ °Ç»ê¸®,900,ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,4,7,29,36.57,,,810,46800,10
0,,1996,,,2014,ÀåÈïÀ¾ °Ç»ê¸®,"6,000",°è¸í,5,0,29,59.67,,,767,46800,10
0,,2012,,,2014,ÀåÈïÀ¾ °Ç»ê¸®,943,ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,7,17,36.55,,,810,46800,4
1,,2012,,,2014,ÀåÈïÀ¾ °Ç»ê¸®,"1,467",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,12,17,46.25,,,810,46800,11
2,,2012,,,2014,ÀåÈïÀ¾ °Ç»ê¸®,943,ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,7,17,36.55,,,810,46800,6
3,,2012,,,2014,ÀåÈïÀ¾ °Ç»ê¸®,"1,467",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,12,17,46.25,,,810,46800,4
4,,2012,,,2014,ÀåÈïÀ¾ °Ç»ê¸®,"1,467",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,12,17,46.25,,,810,46800,12
5,,2012,,,2014,ÀåÈïÀ¾ °Ç»ê¸®,943,ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,7,19,36.55,,,810,46800,5
0,,2012,,,2014,ÀåÈïÀ¾ °Ç»ê¸®,944,ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,7,7,17,36.57,,,810,46800,11
1,,2004,,,2014,ÀåÈïÀ¾ °Ç»ê¸®,"8,000",°Ç»êÁÖ°ø,7,0,21,59.99,,,529-1,46800,1
0,,2002,,,2014,È¸Áø¸é È¸Áø¸®,100,°­¼º,9,31,5,59.714,,,742-10,46800,5
0,,2014,,,2014,ÀåÈïÀ¾ °Ç»ê¸®,"13,000",Á¤ÇÏ¸®¹öÇÏÀÓ,10,0,17,84.6083,,,811,46800,15
0,,2004,,,2014,ÀåÈïÀ¾ °Ç»ê¸®,"6,000",°Ç»êÁÖ°ø,11,0,4,51.88,,,529-1,46800,9
1,,2014,,,2014,ÀåÈïÀ¾ °Ç»ê¸®,"15,000",Á¤ÇÏ¸®¹öÇÏÀÓ,11,0,11,84.6083,,,811,46800,3
2,,2014,,,2014,ÀåÈïÀ¾ °Ç»ê¸®,"12,000",Á¤ÇÏ¸®¹öÇÏÀÓ,11,0,25,84.6083,,,811,46800,17
0,,2014,,,2014,ÀåÈïÀ¾ °Ç»ê¸®,"15,000",Á¤ÇÏ¸®¹öÇÏÀÓ,12,0,11,84.6083,,,811,46800,3
1,,2014,,,2014,ÀåÈïÀ¾ °Ç»ê¸®,"15,000",Á¤ÇÏ¸®¹öÇÏÀÓ,12,0,29,84.6083,,,811,46800,4
2,,2014,,,2014,ÀåÈïÀ¾ °Ç»ê¸®,"15,000",Á¤ÇÏ¸®¹öÇÏÀÓ,12,0,30,84.6083,,,811,46800,4
0,,2014,,,2015,ÀåÈïÀ¾ °Ç»ê¸®,"15,000",Á¤ÇÏ¸®¹öÇÏÀÓ,1,0,8,84.6083,,,811,46800,4
1,,2014,,,2015,ÀåÈïÀ¾ °Ç»ê¸®,"9,000",Á¤ÇÏ¸®¹öÇÏÀÓ,1,0,20,84.6083,,,811,46800,6
2,,2014,,,2015,ÀåÈïÀ¾ °Ç»ê¸®,"15,000",Á¤ÇÏ¸®¹öÇÏÀÓ,1,0,20,84.6083,,,811,46800,4
0,,1996,,,2015,ÀåÈïÀ¾ °Ç»ê¸®,"2,000",¹Ì·¡3,2,43,6,59.82,,,129,46800,1
0,,2004,,,2015,ÀåÈïÀ¾ °Ç»ê¸®,"6,000",°Ç»êÁÖ°ø,3,0,7,51.88,,,529-1,46800,5
1,,2014,,,2015,ÀåÈïÀ¾ °Ç»ê¸®,"15,000",Á¤ÇÏ¸®¹öÇÏÀÓ,3,0,10,84.6083,,,811,46800,4
2,,2014,,,2015,ÀåÈïÀ¾ °Ç»ê¸®,"3,000",Á¤ÇÏ¸®¹öÇÏÀÓ,3,50,15,84.6083,,,811,46800,10
3,,2004,,,2015,ÀåÈïÀ¾ °Ç»ê¸®,"1,000",°Ç»êÁÖ°ø,3,35,16,51.88,,,529-1,46800,1
0,,1991,,,2015,ÀåÈïÀ¾ °Ç»ê¸®,"2,000",¹Ì·¡1,4,30,22,63.62,,,473-31,46800,9
0,,2013,,,2015,ÀåÈïÀ¾ °Ç»ê¸®,"10,000",ºí·çÈú,6,0,19,77.6189,,,179-2,46800,8
0,,1996,,,2015,ÀåÈïÀ¾ °Ç»ê¸®,"1,000",¹Ì·¡3,7,35,18,47.79,,,129,46800,8
0,,2001,,,2015,ÀåÈïÀ¾ °Ç»ê¸®,"2,500",¼Ö¸þÅ¸¿î,9,0,7,30.323,,,413,46800,2
1,,2004,,,2015,ÀåÈïÀ¾ °Ç»ê¸®,"2,000",°Ç»êÁÖ°ø,9,40,21,59.99,,,529-1,46800,2
2,,1996,,,2015,ÀåÈïÀ¾ °Ç»ê¸®,"6,500",°è¸í,9,0,28,59.67,,,767,46800,10
0,,1996,,,2015,ÀåÈïÀ¾ °Ç»ê¸®,"1,000",°è¸í,10,50,8,59.67,,,767,46800,12
0,,2012,,,2015,ÀåÈïÀ¾ °Ç»ê¸®,943,ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,12,7,7,36.57,,,810,46800,10
0,,2001,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,500,¼öÃ¢¾ÆÆ®ºô,1,40,8,59.604,,,670,46800,16
1,,2003,,,2016,È¸Áø¸é È¸Áø¸®,"3,000",¼ºÀº,1,0,13,59.7452,,,538,46800,1
0,,2009,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"17,000",¼öÃ¢ÈÞ±×¸°,2,0,6,84.9629,,,635-1,46800,2
1,,2004,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"7,000",°Ç»êÁÖ°ø,2,0,11,51.88,,,529-1,46800,5
2,,2004,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"3,000",°Ç»êÁÖ°ø,2,30,12,51.88,,,529-1,46800,8
0,,2001,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"1,000",¼Ö¸þÅ¸¿î,3,40,6,84.8824,,,413,46800,15
0,,2004,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"1,000",°Ç»êÁÖ°ø,6,50,4,51.88,,,529-1,46800,6
1,,2012,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,989,ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,8,20,36.57,,,810,46800,6
2,,2012,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"1,539",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,13,22,46.25,,,810,46800,8
3,,2012,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,989,ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,8,22,36.57,,,810,46800,6
4,,2012,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,989,ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,8,22,36.57,,,810,46800,10
5,,2012,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"1,539",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,13,22,46.25,,,810,46800,4
6,,2012,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"1,539",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,13,22,46.25,,,810,46800,12
7,,2012,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"1,539",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,13,22,46.25,,,810,46800,7
8,,2012,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,989,ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,8,22,36.55,,,810,46800,6
9,,2012,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,989,ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,8,22,36.57,,,810,46800,1
10,,2012,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"1,539",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,13,22,46.25,,,810,46800,7
11,,2012,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"1,539",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,0,22,46.25,,,810,46800,4
12,,2012,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"1,539",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,13,22,46.25,,,810,46800,4
13,,2012,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"1,539",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,13,22,46.25,,,810,46800,11
14,,2012,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"1,539",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,13,22,46.25,,,810,46800,6
15,,2012,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"1,539",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,13,22,46.25,,,810,46800,12
16,,2012,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"1,539",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,13,22,46.9,,,810,46800,6
17,,2012,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"1,539",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,13,22,46.25,,,810,46800,9
18,,2012,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"1,539",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,13,22,46.25,,,810,46800,5
19,,2012,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,989,ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,8,24,36.57,,,810,46800,11
20,,2012,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,989,ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,8,27,36.55,,,810,46800,3
21,,2012,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,989,ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,8,28,36.57,,,810,46800,6
0,,2012,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"1,539",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,7,13,1,46.9,,,810,46800,7
1,,2012,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,989,ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,7,8,1,36.57,,,810,46800,5
2,,2012,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,989,ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,7,8,1,36.57,,,810,46800,7
3,,2012,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"1,539",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,7,13,1,46.25,,,810,46800,5
4,,2017,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"11,445",¹Ì¸£Ã¤¾ÆÆÄÆ®,7,0,5,59.9821,,,813,46800,5
5,,2017,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"11,445",¹Ì¸£Ã¤¾ÆÆÄÆ®,7,0,5,59.9821,,,813,46800,9
6,,2017,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,545,¹Ì¸£Ã¤¾ÆÆÄÆ®,7,0,5,59.9821,,,813,46800,11
7,,2017,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,545,¹Ì¸£Ã¤¾ÆÆÄÆ®,7,0,5,59.9821,,,813,46800,7
8,,2017,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"10,100",¹Ì¸£Ã¤¾ÆÆÄÆ®,7,0,5,59.9418,,,813,46800,1
9,,2017,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,545,¹Ì¸£Ã¤¾ÆÆÄÆ®,7,0,5,59.9821,,,813,46800,13
10,,2017,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"10,605",¹Ì¸£Ã¤¾ÆÆÄÆ®,7,0,5,59.9821,,,813,46800,1
11,,2017,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"11,445",¹Ì¸£Ã¤¾ÆÆÄÆ®,7,0,5,59.9821,,,813,46800,4
12,,2017,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"10,900",¹Ì¸£Ã¤¾ÆÆÄÆ®,7,0,6,59.9821,,,813,46800,15
13,,2017,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"10,900",¹Ì¸£Ã¤¾ÆÆÄÆ®,7,0,6,59.9049,,,813,46800,10
14,,2017,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"11,445",¹Ì¸£Ã¤¾ÆÆÄÆ®,7,0,6,59.9821,,,813,46800,15
15,,2017,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"11,445",¹Ì¸£Ã¤¾ÆÆÄÆ®,7,0,6,59.9821,,,813,46800,5
16,,2017,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"11,445",¹Ì¸£Ã¤¾ÆÆÄÆ®,7,0,7,59.9821,,,813,46800,10
17,,2017,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"10,605",¹Ì¸£Ã¤¾ÆÆÄÆ®,7,0,8,59.9821,,,813,46800,1
18,,2012,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"1,539",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,7,13,8,46.25,,,810,46800,7
19,,2017,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"11,445",¹Ì¸£Ã¤¾ÆÆÄÆ®,7,0,12,59.9821,,,813,46800,9
20,,2017,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"16,695",¹Ì¸£Ã¤¾ÆÆÄÆ®,7,0,18,84.8482,,,813,46800,12
21,,2017,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"11,445",¹Ì¸£Ã¤¾ÆÆÄÆ®,7,0,18,59.9821,,,813,46800,4
22,,2017,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"10,900",¹Ì¸£Ã¤¾ÆÆÄÆ®,7,0,19,59.9821,,,813,46800,10
23,,2017,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"16,695",¹Ì¸£Ã¤¾ÆÆÄÆ®,7,0,21,84.8482,,,813,46800,5
0,,2004,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,200,¿ìÁÖºô,9,33,24,23.52,,,69,46800,4
0,,1996,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"2,500",¹Ì·¡3,10,40,8,59.82,,,129,46800,1
1,,2012,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"1,539",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,10,13,10,46.25,,,810,46800,10
0,,2012,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"4,000",ÅÂ¼º°¶·¯¸®,11,40,15,84.9,,,638-3,46800,8
0,,2017,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,525,¹Ì¸£Ã¤¾ÆÆÄÆ®,12,0,9,59.9418,,,813,46800,2
1,,2013,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"10,000",ºí·çÈú,12,0,14,78.5105,,,179-2,46800,8
2,,1996,,,2016,ÀåÈïÀ¾ °Ç»ê¸®,"4,000",¹Ì·¡3,12,0,30,59.82,,,129,46800,2
0,,2017,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"3,000",ºí·ç½Ã¾È¾ÆÆÄÆ®,1,60,3,81.43,,,182,46800,4
1,,2017,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"13,000",ºí·ç½Ã¾È¾ÆÆÄÆ®,1,0,11,81.43,,,182,46800,2
2,,2012,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,999,ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,1,8,16,36.57,,,810,46800,1
3,,1996,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"2,000",¹Ì·¡3,1,30,21,59.82,,,129,46800,2
4,,2017,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"13,000",ºí·ç½Ã¾È¾ÆÆÄÆ®,1,0,25,81.43,,,182,46800,9
0,,1996,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"8,000",¹Ì·¡3,2,0,21,59.82,,,129,46800,12
1,,1996,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"1,000",¹Ì·¡3,2,38,22,59.82,,,129,46800,8
2,,2017,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"13,000",ºí·ç½Ã¾È¾ÆÆÄÆ®,2,0,28,81.43,,,182,46800,4
0,,2017,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"5,000",Áß¾Ó°¶·¯¸®¾ÆÆÄÆ®,3,50,2,68.8181,,,812,46800,5
1,,2004,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"8,000",°Ç»êÁÖ°ø,3,0,22,51.88,,,529-1,46800,5
2,,2017,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"13,000",ºí·ç½Ã¾È¾ÆÆÄÆ®,3,0,25,81.43,,,182,46800,5
0,,2017,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"15,000",ºí·ç½Ã¾È¾ÆÆÄÆ®,4,0,3,81.43,,,182,46800,6
1,,1996,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"5,500",¹Ì·¡3,4,0,18,47.79,,,129,46800,13
2,,2017,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"10,900",¹Ì¸£Ã¤¾ÆÆÄÆ®,4,0,27,59.9821,,,813,46800,4
3,,2017,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"10,000",ºí·ç½Ã¾È¾ÆÆÄÆ®,4,0,29,81.43,,,182,46800,7
0,,2001,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,500,¼öÃ¢¾ÆÆ®ºô,5,35,2,59.604,,,670,46800,15
1,,2004,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"7,000",°Ç»êÁÖ°ø,5,0,22,51.88,,,529-1,46800,2
0,,2014,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"15,000",Á¤ÇÏ¸®¹öÇÏÀÓ,6,0,1,84.6083,,,811,46800,2
1,,1991,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,100,ÇÑºû¸Ç¼Ç,6,35,5,73.89,,,752,46800,5
0,,2017,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"10,900",¹Ì¸£Ã¤¾ÆÆÄÆ®,7,0,6,59.9821,,,813,46800,8
1,,2017,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"10,900",¹Ì¸£Ã¤¾ÆÆÄÆ®,7,0,6,59.9821,,,813,46800,12
2,,1994,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"5,500",¹Ì·¡2,7,0,15,59.23,,,685-4,46800,6
0,,2017,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"5,000",ºí·ç½Ã¾È¾ÆÆÄÆ®,8,0,1,81.43,,,182,46800,5
1,,1994,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"5,000",¹Ì·¡2,8,0,9,59.23,,,685-4,46800,11
2,,1996,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"1,381",°è¸í,8,8,14,49.8,,,767,46800,7
3,,2004,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"1,000",°Ç»êÁÖ°ø,8,0,24,59.99,,,529-1,46800,1
0,,2004,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,200,¿ìÁÖºô,9,33,24,23.52,,,69,46800,4
0,,1996,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"3,000",¹Ì·¡3,10,10,9,59.82,,,129,46800,1
1,,2014,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"15,000",Á¤ÇÏ¸®¹öÇÏÀÓ,10,0,19,84.6083,,,811,46800,12
2,,2004,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"7,000",°Ç»êÁÖ°ø,10,0,30,51.88,,,529-1,46800,9
0,,2017,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"14,000",Áß¾Ó°¶·¯¸®¾ÆÆÄÆ®,11,0,3,68.8181,,,812,46800,3
1,,2017,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"15,000",Áß¾Ó°¶·¯¸®¾ÆÆÄÆ®,11,0,14,68.0236,,,812,46800,6
2,,2004,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"7,000",°Ç»êÁÖ°ø,11,0,19,51.88,,,529-1,46800,8
3,,1996,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"4,500",¹Ì·¡3,11,0,21,47.79,,,129,46800,5
4,,2017,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"13,000",Áß¾Ó°¶·¯¸®¾ÆÆÄÆ®,11,0,30,68.8181,,,812,46800,3
0,,2017,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"14,000",Áß¾Ó°¶·¯¸®¾ÆÆÄÆ®,12,0,4,68.8181,,,812,46800,2
1,,2017,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"10,500",¹Ì¸£Ã¤¾ÆÆÄÆ®,12,0,11,59.9821,,,813,46800,2
2,,2017,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"10,900",¹Ì¸£Ã¤¾ÆÆÄÆ®,12,0,14,59.9821,,,813,46800,9
3,,2017,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"13,000",Áß¾Ó°¶·¯¸®¾ÆÆÄÆ®,12,0,15,68.8181,,,812,46800,2
